solver,instance,family,result,propagations,decisions,props_per_decision,status
minisat,flat30-3.cnf,flat30-60,SAT,62,13,4.7692,ok
minisat,flat30-16.cnf,flat30-60,SAT,40,10,4.0000,ok
minisat,flat30-19.cnf,flat30-60,SAT,48,7,6.8571,ok
minisat,flat30-15.cnf,flat30-60,SAT,43,15,2.8667,ok
minisat,flat30-52.cnf,flat30-60,SAT,37,10,3.7000,ok
minisat,flat30-20.cnf,flat30-60,SAT,62,13,4.7692,ok
minisat,flat30-10.cnf,flat30-60,SAT,40,15,2.6667,ok
minisat,flat30-91.cnf,flat30-60,SAT,68,10,6.8000,ok
minisat,flat30-94.cnf,flat30-60,SAT,68,12,5.6667,ok
minisat,flat30-58.cnf,flat30-60,SAT,43,14,3.0714,ok
minisat,flat30-23.cnf,flat30-60,SAT,63,10,6.3000,ok
minisat,flat30-66.cnf,flat30-60,SAT,42,11,3.8182,ok
minisat,flat30-56.cnf,flat30-60,SAT,42,7,6.0000,ok
minisat,flat30-46.cnf,flat30-60,SAT,35,9,3.8889,ok
minisat,flat30-81.cnf,flat30-60,SAT,44,13,3.3846,ok
minisat,flat30-100.cnf,flat30-60,SAT,43,10,4.3000,ok
minisat,flat30-51.cnf,flat30-60,SAT,42,10,4.2000,ok
minisat,flat30-88.cnf,flat30-60,SAT,47,12,3.9167,ok
minisat,flat30-8.cnf,flat30-60,SAT,43,17,2.5294,ok
minisat,flat30-69.cnf,flat30-60,SAT,132,19,6.9474,ok
minisat,flat30-26.cnf,flat30-60,SAT,44,17,2.5882,ok
minisat,flat30-14.cnf,flat30-60,SAT,41,15,2.7333,ok
minisat,flat30-30.cnf,flat30-60,SAT,39,11,3.5455,ok
minisat,flat30-18.cnf,flat30-60,SAT,142,15,9.4667,ok
minisat,flat30-62.cnf,flat30-60,SAT,64,14,4.5714,ok
minisat,flat30-36.cnf,flat30-60,SAT,97,16,6.0625,ok
minisat,flat30-29.cnf,flat30-60,SAT,119,15,7.9333,ok
minisat,flat30-35.cnf,flat30-60,SAT,37,7,5.2857,ok
minisat,flat30-84.cnf,flat30-60,SAT,47,10,4.7000,ok
minisat,flat30-42.cnf,flat30-60,SAT,37,10,3.7000,ok
minisat,flat30-93.cnf,flat30-60,SAT,36,9,4.0000,ok
minisat,flat30-82.cnf,flat30-60,SAT,38,8,4.7500,ok
minisat,flat30-48.cnf,flat30-60,SAT,46,9,5.1111,ok
minisat,flat30-99.cnf,flat30-60,SAT,39,10,3.9000,ok
minisat,flat30-87.cnf,flat30-60,SAT,49,14,3.5000,ok
minisat,flat30-34.cnf,flat30-60,SAT,74,10,7.4000,ok
minisat,flat30-4.cnf,flat30-60,SAT,62,12,5.1667,ok
minisat,flat30-89.cnf,flat30-60,SAT,56,16,3.5000,ok
minisat,flat30-49.cnf,flat30-60,SAT,39,8,4.8750,ok
minisat,flat30-21.cnf,flat30-60,SAT,47,10,4.7000,ok
minisat,flat30-85.cnf,flat30-60,SAT,42,9,4.6667,ok
minisat,flat30-72.cnf,flat30-60,SAT,26,10,2.6000,ok
minisat,flat30-12.cnf,flat30-60,SAT,44,10,4.4000,ok
minisat,flat30-27.cnf,flat30-60,SAT,83,10,8.3000,ok
minisat,flat30-22.cnf,flat30-60,SAT,52,10,5.2000,ok
minisat,flat30-28.cnf,flat30-60,SAT,49,16,3.0625,ok
minisat,flat30-37.cnf,flat30-60,SAT,42,11,3.8182,ok
minisat,flat30-78.cnf,flat30-60,SAT,54,11,4.9091,ok
minisat,flat30-60.cnf,flat30-60,SAT,46,9,5.1111,ok
minisat,flat30-7.cnf,flat30-60,SAT,32,10,3.2000,ok
minisat,flat30-75.cnf,flat30-60,SAT,66,12,5.5000,ok
minisat,flat30-54.cnf,flat30-60,SAT,40,11,3.6364,ok
minisat,flat30-71.cnf,flat30-60,SAT,56,14,4.0000,ok
minisat,flat30-31.cnf,flat30-60,SAT,67,13,5.1538,ok
minisat,flat30-98.cnf,flat30-60,SAT,42,13,3.2308,ok
minisat,flat30-50.cnf,flat30-60,SAT,66,18,3.6667,ok
minisat,flat30-96.cnf,flat30-60,SAT,56,11,5.0909,ok
minisat,flat30-1.cnf,flat30-60,SAT,80,18,4.4444,ok
minisat,flat30-74.cnf,flat30-60,SAT,89,13,6.8462,ok
minisat,flat30-40.cnf,flat30-60,SAT,46,10,4.6000,ok
minisat,flat30-61.cnf,flat30-60,SAT,50,17,2.9412,ok
minisat,flat30-92.cnf,flat30-60,SAT,42,13,3.2308,ok
minisat,flat30-11.cnf,flat30-60,SAT,43,13,3.3077,ok
minisat,flat30-95.cnf,flat30-60,SAT,68,18,3.7778,ok
minisat,flat30-6.cnf,flat30-60,SAT,44,16,2.7500,ok
minisat,flat30-90.cnf,flat30-60,SAT,121,18,6.7222,ok
minisat,flat30-32.cnf,flat30-60,SAT,95,11,8.6364,ok
minisat,flat30-45.cnf,flat30-60,SAT,63,12,5.2500,ok
minisat,flat30-59.cnf,flat30-60,SAT,80,13,6.1538,ok
minisat,flat30-9.cnf,flat30-60,SAT,85,15,5.6667,ok
minisat,flat30-77.cnf,flat30-60,SAT,33,8,4.1250,ok
minisat,flat30-73.cnf,flat30-60,SAT,53,10,5.3000,ok
minisat,flat30-63.cnf,flat30-60,SAT,34,10,3.4000,ok
minisat,flat30-47.cnf,flat30-60,SAT,78,16,4.8750,ok
minisat,flat30-17.cnf,flat30-60,SAT,71,11,6.4545,ok
minisat,flat30-83.cnf,flat30-60,SAT,137,15,9.1333,ok
minisat,flat30-44.cnf,flat30-60,SAT,43,6,7.1667,ok
minisat,flat30-25.cnf,flat30-60,SAT,82,11,7.4545,ok
minisat,flat30-79.cnf,flat30-60,SAT,43,8,5.3750,ok
minisat,flat30-70.cnf,flat30-60,SAT,69,17,4.0588,ok
minisat,flat30-38.cnf,flat30-60,SAT,63,14,4.5000,ok
minisat,flat30-80.cnf,flat30-60,SAT,46,13,3.5385,ok
minisat,flat30-2.cnf,flat30-60,SAT,53,12,4.4167,ok
minisat,flat30-86.cnf,flat30-60,SAT,51,13,3.9231,ok
minisat,flat30-41.cnf,flat30-60,SAT,76,14,5.4286,ok
minisat,flat30-24.cnf,flat30-60,SAT,70,12,5.8333,ok
minisat,flat30-67.cnf,flat30-60,SAT,46,10,4.6000,ok
minisat,flat30-33.cnf,flat30-60,SAT,190,20,9.5000,ok
minisat,flat30-76.cnf,flat30-60,SAT,60,13,4.6154,ok
minisat,flat30-5.cnf,flat30-60,SAT,41,19,2.1579,ok
minisat,flat30-64.cnf,flat30-60,SAT,39,13,3.0000,ok
minisat,flat30-43.cnf,flat30-60,SAT,107,9,11.8889,ok
minisat,flat30-55.cnf,flat30-60,SAT,70,14,5.0000,ok
minisat,flat30-65.cnf,flat30-60,SAT,60,12,5.0000,ok
minisat,flat30-68.cnf,flat30-60,SAT,63,14,4.5000,ok
minisat,flat30-39.cnf,flat30-60,SAT,46,12,3.8333,ok
minisat,flat30-13.cnf,flat30-60,SAT,67,9,7.4444,ok
minisat,flat30-57.cnf,flat30-60,SAT,39,14,2.7857,ok
minisat,flat30-97.cnf,flat30-60,SAT,58,10,5.8000,ok
minisat,flat30-53.cnf,flat30-60,SAT,39,12,3.2500,ok
minisat,flat50-419.cnf,flat50-115,SAT,81,14,5.7857,ok
minisat,flat50-487.cnf,flat50-115,SAT,88,17,5.1765,ok
minisat,flat50-688.cnf,flat50-115,SAT,97,14,6.9286,ok
minisat,flat50-488.cnf,flat50-115,SAT,288,16,18.0000,ok
minisat,flat50-523.cnf,flat50-115,SAT,168,13,12.9231,ok
minisat,flat50-197.cnf,flat50-115,SAT,109,17,6.4118,ok
minisat,flat50-153.cnf,flat50-115,SAT,291,19,15.3158,ok
minisat,flat50-36.cnf,flat50-115,SAT,102,12,8.5000,ok
minisat,flat50-141.cnf,flat50-115,SAT,205,12,17.0833,ok
minisat,flat50-25.cnf,flat50-115,SAT,127,12,10.5833,ok
minisat,flat50-588.cnf,flat50-115,SAT,136,17,8.0000,ok
minisat,flat50-861.cnf,flat50-115,SAT,79,15,5.2667,ok
minisat,flat50-372.cnf,flat50-115,SAT,88,12,7.3333,ok
minisat,flat50-651.cnf,flat50-115,SAT,106,16,6.6250,ok
minisat,flat50-874.cnf,flat50-115,SAT,104,13,8.0000,ok
minisat,flat50-787.cnf,flat50-115,SAT,149,13,11.4615,ok
minisat,flat50-906.cnf,flat50-115,SAT,75,10,7.5000,ok
minisat,flat50-187.cnf,flat50-115,SAT,544,30,18.1333,ok
minisat,flat50-283.cnf,flat50-115,SAT,97,15,6.4667,ok
minisat,flat50-856.cnf,flat50-115,SAT,72,17,4.2353,ok
minisat,flat50-466.cnf,flat50-115,SAT,275,18,15.2778,ok
minisat,flat50-209.cnf,flat50-115,SAT,110,16,6.8750,ok
minisat,flat50-354.cnf,flat50-115,SAT,322,19,16.9474,ok
minisat,flat50-128.cnf,flat50-115,SAT,338,22,15.3636,ok
minisat,flat50-178.cnf,flat50-115,SAT,188,21,8.9524,ok
minisat,flat50-534.cnf,flat50-115,SAT,161,20,8.0500,ok
minisat,flat50-756.cnf,flat50-115,SAT,106,21,5.0476,ok
minisat,flat50-317.cnf,flat50-115,SAT,128,17,7.5294,ok
minisat,flat50-681.cnf,flat50-115,SAT,261,19,13.7368,ok
minisat,flat50-80.cnf,flat50-115,SAT,175,14,12.5000,ok
minisat,flat50-698.cnf,flat50-115,SAT,271,22,12.3182,ok
minisat,flat50-330.cnf,flat50-115,SAT,152,16,9.5000,ok
minisat,flat50-346.cnf,flat50-115,SAT,168,15,11.2000,ok
minisat,flat50-201.cnf,flat50-115,SAT,134,18,7.4444,ok
minisat,flat50-415.cnf,flat50-115,SAT,238,12,19.8333,ok
minisat,flat50-650.cnf,flat50-115,SAT,356,29,12.2759,ok
minisat,flat50-221.cnf,flat50-115,SAT,225,23,9.7826,ok
minisat,flat50-343.cnf,flat50-115,SAT,86,16,5.3750,ok
minisat,flat50-161.cnf,flat50-115,SAT,132,14,9.4286,ok
minisat,flat50-463.cnf,flat50-115,SAT,553,30,18.4333,ok
minisat,flat50-867.cnf,flat50-115,SAT,129,14,9.2143,ok
minisat,flat50-443.cnf,flat50-115,SAT,168,13,12.9231,ok
minisat,flat50-7.cnf,flat50-115,SAT,531,36,14.7500,ok
minisat,flat50-82.cnf,flat50-115,SAT,149,18,8.2778,ok
minisat,flat50-816.cnf,flat50-115,SAT,217,19,11.4211,ok
minisat,flat50-336.cnf,flat50-115,SAT,209,15,13.9333,ok
minisat,flat50-551.cnf,flat50-115,SAT,164,20,8.2000,ok
minisat,flat50-569.cnf,flat50-115,SAT,1280,62,20.6452,ok
minisat,flat50-833.cnf,flat50-115,SAT,264,20,13.2000,ok
minisat,flat50-475.cnf,flat50-115,SAT,174,19,9.1579,ok
minisat,flat50-2.cnf,flat50-115,SAT,327,23,14.2174,ok
minisat,flat50-661.cnf,flat50-115,SAT,145,13,11.1538,ok
minisat,flat50-16.cnf,flat50-115,SAT,92,13,7.0769,ok
minisat,flat50-31.cnf,flat50-115,SAT,87,21,4.1429,ok
minisat,flat50-624.cnf,flat50-115,SAT,194,20,9.7000,ok
minisat,flat50-216.cnf,flat50-115,SAT,211,14,15.0714,ok
minisat,flat50-479.cnf,flat50-115,SAT,246,19,12.9474,ok
minisat,flat50-961.cnf,flat50-115,SAT,442,26,17.0000,ok
minisat,flat50-432.cnf,flat50-115,SAT,80,11,7.2727,ok
minisat,flat50-740.cnf,flat50-115,SAT,204,17,12.0000,ok
minisat,flat50-224.cnf,flat50-115,SAT,101,14,7.2143,ok
minisat,flat50-839.cnf,flat50-115,SAT,140,11,12.7273,ok
minisat,flat50-202.cnf,flat50-115,SAT,130,13,10.0000,ok
minisat,flat50-99.cnf,flat50-115,SAT,80,13,6.1538,ok
minisat,flat50-152.cnf,flat50-115,SAT,420,22,19.0909,ok
minisat,flat50-78.cnf,flat50-115,SAT,289,19,15.2105,ok
minisat,flat50-397.cnf,flat50-115,SAT,68,10,6.8000,ok
minisat,flat50-519.cnf,flat50-115,SAT,98,24,4.0833,ok
minisat,flat50-685.cnf,flat50-115,SAT,270,20,13.5000,ok
minisat,flat50-492.cnf,flat50-115,SAT,85,14,6.0714,ok
minisat,flat50-987.cnf,flat50-115,SAT,521,35,14.8857,ok
minisat,flat50-226.cnf,flat50-115,SAT,278,19,14.6316,ok
minisat,flat50-393.cnf,flat50-115,SAT,114,15,7.6000,ok
minisat,flat50-139.cnf,flat50-115,SAT,190,18,10.5556,ok
minisat,flat50-526.cnf,flat50-115,SAT,122,14,8.7143,ok
minisat,flat50-93.cnf,flat50-115,SAT,223,27,8.2593,ok
minisat,flat50-108.cnf,flat50-115,SAT,126,16,7.8750,ok
minisat,flat50-478.cnf,flat50-115,SAT,405,24,16.8750,ok
minisat,flat50-527.cnf,flat50-115,SAT,176,18,9.7778,ok
minisat,flat50-840.cnf,flat50-115,SAT,413,23,17.9565,ok
minisat,flat50-477.cnf,flat50-115,SAT,235,14,16.7857,ok
minisat,flat50-104.cnf,flat50-115,SAT,218,14,15.5714,ok
minisat,flat50-349.cnf,flat50-115,SAT,108,21,5.1429,ok
minisat,flat50-918.cnf,flat50-115,SAT,206,17,12.1176,ok
minisat,flat50-572.cnf,flat50-115,SAT,170,20,8.5000,ok
minisat,flat50-602.cnf,flat50-115,SAT,240,30,8.0000,ok
minisat,flat50-817.cnf,flat50-115,SAT,89,12,7.4167,ok
minisat,flat50-76.cnf,flat50-115,SAT,140,13,10.7692,ok
minisat,flat50-230.cnf,flat50-115,SAT,79,10,7.9000,ok
minisat,flat50-228.cnf,flat50-115,SAT,189,17,11.1176,ok
minisat,flat50-985.cnf,flat50-115,SAT,82,17,4.8235,ok
minisat,flat50-43.cnf,flat50-115,SAT,84,15,5.6000,ok
minisat,flat50-433.cnf,flat50-115,SAT,472,26,18.1538,ok
minisat,flat50-120.cnf,flat50-115,SAT,243,14,17.3571,ok
minisat,flat50-727.cnf,flat50-115,SAT,258,13,19.8462,ok
minisat,flat50-919.cnf,flat50-115,SAT,210,19,11.0526,ok
