solver,instance,family,result,propagations,decisions,props_per_decision,status
minisat,uf175-03.cnf,uf175-753,SAT,37180,1427,26.0547,ok
minisat,uf175-016.cnf,uf175-753,SAT,75849,2740,27.6821,ok
minisat,uf175-019.cnf,uf175-753,SAT,223383,7634,29.2616,ok
minisat,uf175-015.cnf,uf175-753,SAT,42236,1522,27.7503,ok
minisat,uf175-052.cnf,uf175-753,SAT,198013,6866,28.8396,ok
minisat,uf175-020.cnf,uf175-753,SAT,28583,1072,26.6632,ok
minisat,uf175-010.cnf,uf175-753,SAT,100952,3601,28.0344,ok
minisat,uf175-091.cnf,uf175-753,SAT,276501,9391,29.4432,ok
minisat,uf175-094.cnf,uf175-753,SAT,26688,936,28.5128,ok
minisat,uf175-058.cnf,uf175-753,SAT,79242,2947,26.8890,ok
minisat,uf175-023.cnf,uf175-753,SAT,94266,3326,28.3422,ok
minisat,uf175-066.cnf,uf175-753,SAT,37771,1364,27.6913,ok
minisat,uf175-056.cnf,uf175-753,SAT,55476,1966,28.2177,ok
minisat,uf175-046.cnf,uf175-753,SAT,35134,1323,26.5563,ok
minisat,uf175-081.cnf,uf175-753,SAT,437054,15518,28.1643,ok
minisat,uf175-0100.cnf,uf175-753,SAT,75724,2669,28.3717,ok
minisat,uf175-051.cnf,uf175-753,SAT,89859,3215,27.9499,ok
minisat,uf175-088.cnf,uf175-753,SAT,22002,909,24.2046,ok
minisat,uf175-08.cnf,uf175-753,SAT,11289,421,26.8147,ok
minisat,uf175-069.cnf,uf175-753,SAT,250875,8703,28.8263,ok
minisat,uf175-026.cnf,uf175-753,SAT,106984,3714,28.8056,ok
minisat,uf175-014.cnf,uf175-753,SAT,83109,3020,27.5195,ok
minisat,uf175-030.cnf,uf175-753,SAT,335516,11372,29.5037,ok
minisat,uf175-018.cnf,uf175-753,SAT,87364,3186,27.4212,ok
minisat,uf175-062.cnf,uf175-753,SAT,35640,1282,27.8003,ok
minisat,uf175-036.cnf,uf175-753,SAT,58369,2018,28.9242,ok
minisat,uf175-029.cnf,uf175-753,SAT,185298,6529,28.3808,ok
