hash,family,instance,solver,result,completed,variables,clauses,decisions,propagations,props_per_decision,cpu_time,status
be9a6f49b162977be1c1a2fe0eedf987,hardware-verification,be9a6f49b162977be1c1a2fe0eedf987-ibm-2004-29-k25.cnf,minisat,UNSAT,True,17494,74526,493546,107222355,217.2490,10.0528,ok
be9a6f49b162977be1c1a2fe0eedf987,hardware-verification,be9a6f49b162977be1c1a2fe0eedf987-ibm-2004-29-k25.cnf,cadical,UNSAT,True,,,236795,23490632,99.2024,2.95,ok
be9a6f49b162977be1c1a2fe0eedf987,hardware-verification,be9a6f49b162977be1c1a2fe0eedf987-ibm-2004-29-k25.cnf,kissat,UNSAT,True,,,191797,27112804,141.3620,1.91,ok
a15a3a637ac8ee47d65e5a1834021085,hardware-verification,a15a3a637ac8ee47d65e5a1834021085-SAT_dat.k85.cnf,minisat,SAT,True,298266,1208005,1122264,213556373,190.2907,15.3949,ok
a15a3a637ac8ee47d65e5a1834021085,hardware-verification,a15a3a637ac8ee47d65e5a1834021085-SAT_dat.k85.cnf,cadical,SAT,True,,,1243377,102554399,82.4805,23.82,ok
a15a3a637ac8ee47d65e5a1834021085,hardware-verification,a15a3a637ac8ee47d65e5a1834021085-SAT_dat.k85.cnf,kissat,SAT,True,,,874480,73990864,84.6113,8.03,ok
1e2c7326c2e7898d40665a86a747fa0e,hardware-verification,1e2c7326c2e7898d40665a86a747fa0e-engine_5_case1.cnf,minisat,UNSAT,True,18810,214144,32307,9521419,294.7169,0.573463,ok
1e2c7326c2e7898d40665a86a747fa0e,hardware-verification,1e2c7326c2e7898d40665a86a747fa0e-engine_5_case1.cnf,cadical,UNSAT,True,,,45753,14911679,325.9170,2.01,ok
1e2c7326c2e7898d40665a86a747fa0e,hardware-verification,1e2c7326c2e7898d40665a86a747fa0e-engine_5_case1.cnf,kissat,UNSAT,True,,,60835,23043244,378.7827,1.22,ok
214a609d6a70d397010c27e42a2463fe,hardware-verification,214a609d6a70d397010c27e42a2463fe-sss-sat-1.shuffled.cnf,minisat,SAT,True,4824,48180,7668,210031,27.3906,0.06562,ok
214a609d6a70d397010c27e42a2463fe,hardware-verification,214a609d6a70d397010c27e42a2463fe-sss-sat-1.shuffled.cnf,cadical,SAT,True,,,10378,255247,24.5950,0.14,ok
214a609d6a70d397010c27e42a2463fe,hardware-verification,214a609d6a70d397010c27e42a2463fe-sss-sat-1.shuffled.cnf,kissat,SAT,True,,,10588,762792,72.0431,0.07,ok
3e5480781f89dfa11b41c034f68a713b,hardware-verification,3e5480781f89dfa11b41c034f68a713b-edn_5371_12.cnf_0.50000000.unsat.cnf,minisat,UNSAT,True,1042190,3037731,0,334676,,0.640752,no_decisions
3e5480781f89dfa11b41c034f68a713b,hardware-verification,3e5480781f89dfa11b41c034f68a713b-edn_5371_12.cnf_0.50000000.unsat.cnf,cadical,UNSAT,True,,,,,,0.65,no_decisions
3e5480781f89dfa11b41c034f68a713b,hardware-verification,3e5480781f89dfa11b41c034f68a713b-edn_5371_12.cnf_0.50000000.unsat.cnf,kissat,UNSAT,True,,,0,334676,,0.33,no_decisions
381218f7cd0f1771eede9252a5963a48,hardware-verification,381218f7cd0f1771eede9252a5963a48-manol-pipe-cha05-113.cnf,minisat,UNSAT,True,36757,109044,288838,23621842,81.7823,2.10769,ok
381218f7cd0f1771eede9252a5963a48,hardware-verification,381218f7cd0f1771eede9252a5963a48-manol-pipe-cha05-113.cnf,cadical,UNSAT,True,,,417019,16673135,39.9817,2.90,ok
381218f7cd0f1771eede9252a5963a48,hardware-verification,381218f7cd0f1771eede9252a5963a48-manol-pipe-cha05-113.cnf,kissat,UNSAT,True,,,653882,47896696,73.2498,3.95,ok
d5ed2be381f3a58b0abaed0d95c1b2a2,hardware-verification,d5ed2be381f3a58b0abaed0d95c1b2a2-c6bidw_i.cnf,minisat,UNSAT,True,96089,283992,1189852,66992231,56.3030,6.60517,ok
d5ed2be381f3a58b0abaed0d95c1b2a2,hardware-verification,d5ed2be381f3a58b0abaed0d95c1b2a2-c6bidw_i.cnf,cadical,UNSAT,True,,,2477944,53536557,21.6052,11.86,ok
d5ed2be381f3a58b0abaed0d95c1b2a2,hardware-verification,d5ed2be381f3a58b0abaed0d95c1b2a2-c6bidw_i.cnf,kissat,UNSAT,True,,,3456511,100887828,29.1878,14.23,ok
709fa71fcbe9f58f0696c723e9c5afce,hardware-verification,709fa71fcbe9f58f0696c723e9c5afce-shuffling-2-s261218073-of-bench-sat04-724.used-as.sat04-750.cnf,minisat,SAT,True,138918,4678656,202978,22455053,110.6280,34.4689,ok
709fa71fcbe9f58f0696c723e9c5afce,hardware-verification,709fa71fcbe9f58f0696c723e9c5afce-shuffling-2-s261218073-of-bench-sat04-724.used-as.sat04-750.cnf,cadical,SAT,True,,,678017,103387694,152.4854,21.18,ok
709fa71fcbe9f58f0696c723e9c5afce,hardware-verification,709fa71fcbe9f58f0696c723e9c5afce-shuffling-2-s261218073-of-bench-sat04-724.used-as.sat04-750.cnf,kissat,SAT,True,,,587526,168582033,286.9354,21.64,ok
9df7f45363e2fd8186db17f3a951fccf,hardware-verification,9df7f45363e2fd8186db17f3a951fccf-ip50.shuffled-as.sat03-434.cnf,minisat,UNSAT,True,66131,208500,66342,10621621,160.1040,1.01475,ok
9df7f45363e2fd8186db17f3a951fccf,hardware-verification,9df7f45363e2fd8186db17f3a951fccf-ip50.shuffled-as.sat03-434.cnf,cadical,UNSAT,True,,,66197,3525014,53.2504,0.93,ok
9df7f45363e2fd8186db17f3a951fccf,hardware-verification,9df7f45363e2fd8186db17f3a951fccf-ip50.shuffled-as.sat03-434.cnf,kissat,UNSAT,True,,,146144,23915621,163.6442,1.53,ok
42cbec6edb9f3f2ccb461c800db0707a,hardware-verification,42cbec6edb9f3f2ccb461c800db0707a-ooo.rf6.ucl.sat.chaff.4.1.bryant.cnf,minisat,UNSAT,True,3026,8393,109,4199,38.5229,0.014896,ok
42cbec6edb9f3f2ccb461c800db0707a,hardware-verification,42cbec6edb9f3f2ccb461c800db0707a-ooo.rf6.ucl.sat.chaff.4.1.bryant.cnf,cadical,UNSAT,True,,,2037,10198,5.0064,0.02,ok
42cbec6edb9f3f2ccb461c800db0707a,hardware-verification,42cbec6edb9f3f2ccb461c800db0707a-ooo.rf6.ucl.sat.chaff.4.1.bryant.cnf,kissat,UNSAT,True,,,102,56749,556.3627,0.02,ok
1c4954b4113ddc4413612977b85818af,hardware-verification,1c4954b4113ddc4413612977b85818af-g6b.cnf,minisat,UNSAT,True,13495,39570,14788,400136,27.0582,0.082979,ok
1c4954b4113ddc4413612977b85818af,hardware-verification,1c4954b4113ddc4413612977b85818af-g6b.cnf,cadical,UNSAT,True,,,38350,510409,13.3092,0.17,ok
1c4954b4113ddc4413612977b85818af,hardware-verification,1c4954b4113ddc4413612977b85818af-g6b.cnf,kissat,UNSAT,True,,,22439,3257630,145.1771,0.17,ok
497e516c4d926d82596e88fb263a0b87,hardware-verification,497e516c4d926d82596e88fb263a0b87-manol-pipe-c7_i.cnf,minisat,UNSAT,True,13023,38508,88335,5050194,57.1709,0.497601,ok
497e516c4d926d82596e88fb263a0b87,hardware-verification,497e516c4d926d82596e88fb263a0b87-manol-pipe-c7_i.cnf,cadical,UNSAT,True,,,65791,1251322,19.0197,0.30,ok
