solver,instance,family,result,propagations,decisions,props_per_decision,status
minisat,e0ddr2-10-by-5-1.cnf,Bejing,SAT,43670,3238,13.4867,ok
minisat,ewddr2-10-by-5-1.cnf,Bejing,SAT,11929,3363,3.5471,ok
minisat,3bitadd_31.cnf,Bejing,SAT,283407,13181,21.5012,ok
minisat,2bitadd_11.cnf,Bejing,SAT,4892,393,12.4478,ok
minisat,4blocksb.cnf,Bejing,SAT,16013,1414,11.3246,ok
minisat,2bitadd_12.cnf,Bejing,SAT,4619,408,11.3211,ok
minisat,2bitcomp_5.cnf,Bejing,SAT,75,23,3.2609,ok
minisat,e0ddr2-10-by-5-4.cnf,Bejing,SAT,10009,3673,2.7250,ok
minisat,enddr2-10-by-5-8.cnf,Bejing,SAT,11413,3435,3.3226,ok
minisat,3blocks.cnf,Bejing,SAT,2718,128,21.2344,ok
minisat,4blocks.cnf,Bejing,SAT,90572,7786,11.6327,ok
minisat,2bitmax_6.cnf,Bejing,SAT,170,53,3.2075,ok
minisat,2bitadd_10.cnf,Bejing,UNSAT,61538600,1587563,38.7629,ok
minisat,3bitadd_32.cnf,Bejing,SAT,2231426,64970,34.3455,ok
minisat,ewddr2-10-by-5-8.cnf,Bejing,SAT,12796,3131,4.0869,ok
minisat,enddr2-10-by-5-1.cnf,Bejing,SAT,11046,3350,3.2973,ok
minisat,bf1355-075.cnf,bf,UNSAT,361,0,,zero_decisions
minisat,bf2670-001.cnf,bf,UNSAT,239,11,21.7273,ok
minisat,bf0432-007.cnf,bf,UNSAT,29742,815,36.4933,ok
minisat,bf1355-638.cnf,bf,UNSAT,1068,64,16.6875,ok
minisat,huge.cnf,blocksworld,SAT,1073,31,34.6129,ok
minisat,anomaly.cnf,blocksworld,SAT,62,4,15.5000,ok
minisat,bw_large.c.cnf,blocksworld,SAT,89624,492,182.1626,ok
minisat,bw_large.a.cnf,blocksworld,SAT,1293,31,41.7097,ok
minisat,medium.cnf,blocksworld,SAT,108,7,15.4286,ok
minisat,bw_large.b.cnf,blocksworld,SAT,21622,188,115.0106,ok
minisat,bw_large.d.cnf,blocksworld,SAT,468453,1869,250.6437,ok
minisat,bmc-galileo-8.cnf,bmc,SAT,93379,1365,68.4095,ok
minisat,bmc-ibm-4.cnf,bmc,SAT,189973,2358,80.5653,ok
minisat,bmc-ibm-11.cnf,bmc,SAT,1476085,12314,119.8705,ok
minisat,bmc-ibm-3.cnf,bmc,SAT,391914,2344,167.1988,ok
minisat,bmc-ibm-13.cnf,bmc,SAT,6018801,29914,201.2035,ok
minisat,bmc-ibm-10.cnf,bmc,SAT,511236,7531,67.8842,ok
