instance,family,status,result,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time
flat30-1.cnf,flat30-60,ok,SAT,90,300,18,80,3,1,4.4444,0.001382
flat30-10.cnf,flat30-60,ok,SAT,90,300,15,40,0,1,2.6667,0.001305
flat30-100.cnf,flat30-60,ok,SAT,90,300,10,43,0,1,4.3000,0.001307
flat30-11.cnf,flat30-60,ok,SAT,90,300,13,43,0,1,3.3077,0.001219
flat30-12.cnf,flat30-60,ok,SAT,90,300,10,44,0,1,4.4000,0.001125
flat30-13.cnf,flat30-60,ok,SAT,90,300,9,67,1,1,7.4444,0.001099
flat30-14.cnf,flat30-60,ok,SAT,90,300,15,41,0,1,2.7333,0.00127
flat30-15.cnf,flat30-60,ok,SAT,90,300,15,43,0,1,2.8667,0.001163
flat30-16.cnf,flat30-60,ok,SAT,90,300,10,40,0,1,4.0000,0.001218
flat30-17.cnf,flat30-60,ok,SAT,90,300,11,71,1,1,6.4545,0.001192
flat30-18.cnf,flat30-60,ok,SAT,90,300,15,142,6,1,9.4667,0.0011
flat30-19.cnf,flat30-60,ok,SAT,90,300,7,48,2,1,6.8571,0.001164
flat30-2.cnf,flat30-60,ok,SAT,90,300,12,53,2,1,4.4167,0.001168
flat30-20.cnf,flat30-60,ok,SAT,90,300,13,62,3,1,4.7692,0.001135
flat30-21.cnf,flat30-60,ok,SAT,90,300,10,47,1,1,4.7000,0.001261
flat30-22.cnf,flat30-60,ok,SAT,90,300,10,52,1,1,5.2000,0.001175
flat30-23.cnf,flat30-60,ok,SAT,90,300,10,63,1,1,6.3000,0.001148
flat30-24.cnf,flat30-60,ok,SAT,90,300,12,70,2,1,5.8333,0.001146
flat30-25.cnf,flat30-60,ok,SAT,90,300,11,82,2,1,7.4545,0.001183
flat30-26.cnf,flat30-60,ok,SAT,90,300,17,44,0,1,2.5882,0.001098
flat30-27.cnf,flat30-60,ok,SAT,90,300,10,83,3,1,8.3000,0.001233
flat30-28.cnf,flat30-60,ok,SAT,90,300,16,49,1,1,3.0625,0.001114
flat30-29.cnf,flat30-60,ok,SAT,90,300,15,119,5,1,7.9333,0.001105
flat30-3.cnf,flat30-60,ok,SAT,90,300,13,62,2,1,4.7692,0.001075
flat30-30.cnf,flat30-60,ok,SAT,90,300,11,39,0,1,3.5455,0.001072
flat30-31.cnf,flat30-60,ok,SAT,90,300,13,67,1,1,5.1538,0.001175
flat30-32.cnf,flat30-60,ok,SAT,90,300,11,95,5,1,8.6364,0.001184
flat30-33.cnf,flat30-60,ok,SAT,90,300,20,190,10,1,9.5000,0.001179
flat30-34.cnf,flat30-60,ok,SAT,90,300,10,74,3,1,7.4000,0.00121
flat30-35.cnf,flat30-60,ok,SAT,90,300,7,37,1,1,5.2857,0.001503
flat30-36.cnf,flat30-60,ok,SAT,90,300,16,97,5,1,6.0625,0.001363
