instance,family,status,result,completed,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time,download_bytes,wall_total,error
004b0f451f7d96f6a572e9e76360f51a-spg_420_280.cnf,sc2023-main,ok,INDET,False,674643,3463100,390583,170466269,74661,236,436.4406,9.89794,9858128,13.22,
008e7716c69009090ff6bd0048dc55f8-SAT_dat.k10.cnf,sc2023-main,ok,INDET,False,46169,207564,558173,157552892,222649,511,282.2653,9.92577,490920,11.84,
00a981f385cd209d41e1efa1f5f29bac-ibm-2004-03-k70.cnf,sc2023-main,ok,SAT,True,69839,275980,168286,19854678,54586,169,117.9818,1.40292,404324,3.78,
00b46ace235e3915a439c77a231a5657-TableSymModel_output_7_3_9.bul_.dimacs.cnf,sc2023-main,ok,INDET,False,7182,63742,1853997,45279178,404726,987,24.4225,9.92442,50788,11.31,
00bb0b4ef28ed38c49de4c54b9fabc4d-25_2.cnf,sc2023-main,ok,INDET,False,4128,13664,171164,103859682,148397,389,606.7846,9.9453,23928,11.11,
00f2eb377986e7decbc863931680a3b2-rand_net70-40-10.shuffled.cnf,sc2023-main,ok,INDET,False,5600,16661,746009,124399630,329933,766,166.7535,9.9342,90800,11.27,
00f4aca773e5675f35263dcd46b15bde-vmpc_28.shuffled-as.sat05-1957.cnf,sc2023-main,ok,INDET,False,784,108080,578917,37220426,290719,700,64.2932,9.90805,487588,12.32,
017ba03ed108f492c9293c7c95e5cae9-multiplier_14bits__miter_14.cnf,sc2023-main,ok,INDET,False,4376,13016,849438,91879210,684017,1492,108.1647,9.90992,32364,11.25,
0191a0bf3412ed407ba669f8d69081ee-mrpp_6x6#18_20.cnf,sc2023-main,ok,INDET,False,10841,83361,5057911,64095172,865754,1858,12.6723,9.89194,150068,11.46,
01966a0fc52b2200a13f5f835275a919-SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,sc2023-main,ok,INDET,False,810,68270,214572,9323161,109052,285,43.4500,9.90635,226964,11.70,
01bd0865ab694bc71d80b7d285d5777d-shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711.cnf,sc2023-main,ok,UNSAT,True,505536,1595120,139192,76556296,19793,68,550.0050,9.54489,12728404,12.68,
01dd5feb463fa80f73809718f6ff735b-10pipe_q0_k.cnf,sc2023-main,ok,INDET,False,77639,2082016,876923,177499965,149575,396,202.4123,9.92418,1723876,12.21,
02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#12_12.cnf,sc2023-main,ok,INDET,False,2672,16280,1088087,58328659,683166,1487,53.6066,9.91684,36384,11.11,
028d0cc7af63e9bba5795f20e24db4f6-pyhala-braun-sat-35-4-04.shuffled.cnf,sc2023-main,ok,INDET,False,7383,24097,247188,119944642,207564,511,485.2365,9.88876,143516,11.46,
0297c2a35f116ffd5382aea5b421e6df-Urquhart-s3-b3.shuffled-as.sat03-1556.cnf,sc2023-main,ok,INDET,False,45,376,11471280,45792507,7524322,12285,3.9919,9.89409,2596,10.95,
02c6fe8483e4f4474b7ac9731772535d-ncc_none_7047_6_3_3_0_0_420.cnf,sc2023-main,ok,INDET,False,1484350,5359707,62009621,95407496,13350,60,1.5386,9.8706,16651036,13.88,
0336f81b60baac5b8f481dd3c32861a5-mod4block_2vars_10gates_u2_autoenc-sc2009.cnf,sc2023-main,ok,INDET,False,479,123439,1670598,13741069,866814,1859,8.2252,9.97614,486968,11.94,
036b541db9d0839b0591d408ff4f77ae-aes_decry_2_rounds.debugged.cnf,sc2023-main,ok,INDET,False,279119,1146467,486365,17231375,249182,574,35.4289,9.91705,2814576,12.37,
037c423f56548082b1935e88c48ffdda-3col120_5_2.shuffled.cnf,sc2023-main,ok,SAT,True,240,1007,12607,677708,10638,46,53.7565,0.079344,6196,1.02,
037d21e060a2e3eab8b080aa84ceee75-mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,sc2023-main,ok,SAT,True,2396,83733,26063,939095,7783,31,36.0317,0.227804,696100,2.04,
03a43a7ea55217f53542ed3f029963af-satch2ways16w.cnf,sc2023-main,ok,INDET,False,16883,50558,300050,115940787,182674,507,386.4049,9.97399,65132,12.29,
03de316ba1e90305471a3b8620cb9cd7-satsgi-n23himBHm26-p0-q248.cnf,sc2023-main,ok,SAT,True,598,14076,324,598,0,1,1.8457,0.011372,9212,0.94,
03e9d1abe418a1727bbf2ead77d69d02-php15-mixed-15percent-blocked.cnf,sc2023-main,ok,INDET,False,354,2938,1055897,30177249,725265,1534,28.5797,9.9277,7592,10.94,
06b138e8a6da806e88ac7da2919cef30-grs-192-32.cnf,sc2023-main,ok,INDET,False,132826,392118,920395,170839549,347836,828,185.6155,9.94063,764228,11.89,
075ca0a158690a55b7254d9aaee2e103-asconhashv12_opt64_H4_M2-LOD9_m0_2_U19.c.cnf,sc2023-main,ok,INDET,False,126995,296493,794368,81668038,150618,397,102.8088,9.95633,508432,11.84,
0811f761eee5e4ef28196fd98884a67b-multiplier_13bits__miter_15.cnf,sc2023-main,ok,INDET,False,3728,11080,843781,89783063,670512,1450,106.4056,9.91643,27736,11.13,
08455b2e1e6fda910989f0481a20f1c3-hash_table_find_safety_size_13.cnf,sc2023-main,no_decisions,INDET,False,6472782,25795161,0,665899,0,1,,10.1854,47235880,18.47,
