hash,ppd,modularity,degree_cv,n_clauses
dc8ddb17b01d65aebc2223d4c26f9d00,37.9903,0.8607,1.1219,31997
c2cd09b4537de6e215569560cf8646e4,40.8315,0.8626,3.3171,757862
61491d8717f1b5a99f3d9acf609934b3,9.0000,0.9935,0.4285,395914
e00db2d014120892e94713590fc32948,7.0000,0.9938,0.4285,431842
00b9b467c26540853360491401da61a5,29.7277,0.8767,1.6413,42956
4698d034b2b58fcc23d84795632e8ad6,558.5999,0.8661,1.6486,202919
a5841f9058a32893132e8583144db040,39.0834,0.8617,3.0268,599363
20af7a90131ea05e1ef53ea3705088c9,30.9121,0.8640,2.7041,448826
0152d286cde406747d179c36a95c2fdc,5.9792,0.9915,0.4882,389981
92b98ab8055b143e0283a215a70cf001,275.4944,0.9080,2.3066,404967
c87d77dd5456866cf10d56e0e05bbdc8,2.3680,0.9941,0.5134,1351097
705f6075b27775e03daf6e8d781cb953,3.8826,0.9951,0.4882,1128758
f0fb19c989586fbd0fe103711b168688,23.9454,0.8639,3.1963,742865
e98149b2b2a9aeaff471e47da9137061,3.6008,0.9947,0.4882,973226
736b31af61c207d0c53a79b203a35dd9,7.0000,0.9941,0.4285,467770
86cea065bb59135d390c70dc3df07719,36.1733,0.8644,3.3216,768347
0ddf53c673ce101b55cc995a357c21f4,123.1293,0.7835,0.4230,3371
2e20dea74a345197d1adf368856da6f2,7.0000,0.9936,0.4285,404896
0c73ba1c522d042dc9d2688f5896650c,3.4379,0.9933,0.4882,623279
dbcc775ffd10da39efe1f481ae033087,288.5049,0.8684,3.7969,429547
21f17c144185a505bb4a918e61d1e3bd,3.8051,0.9951,0.4882,1167641
3c632491064f8b7b52656d2762971a05,597.0000,0.8878,1.1427,1076507
1698bc45adbd800076d24e622a227436,15.1033,0.8805,2.5378,456350
2fe40704cdbb0ba99635e8d1a050b0a1,7.0000,0.9942,0.4285,494716
284fea356c44ea0dd4ae710ba38cd186,474.0444,0.8851,3.4410,703879
fd4c29e643c9a6d9b86716ddc731a258,24.6151,0.9582,0.3485,907320
375b0bb96005020dea369b22f85ed8f5,3.7714,0.9949,0.4882,1050992
0e3569069287af30c0a667b44980d91e,403.6870,0.8844,3.5087,891215
599b58ab6fe8214e7250f974f36ec71b,9.0000,0.9943,0.4285,503698
c657b42ed98b8b4469f8aca02b5a0142,4.4512,0.9935,0.4882,662162
abc2d706e3cb72aa9f0edc8b67cd11f6,9.0000,0.9932,0.4285,359986
807705232d73dc93f2d424f62b597662,9.0000,0.9937,0.4285,422860
a70be851b3e1d994d3c3729d8c9dcf1a,44.4048,0.8930,2.4426,158933
ddce6df9e6cdfe24d48e9a6c86e5513e,9.0000,0.9937,0.4285,413878
b5997123626c2d12fa7e2ef8972d38e4,55.1873,0.8647,4.1331,1247498
41586e1dad3f5174d47d91fab9eb98c6,17.3510,0.8289,1.0592,12437
e413c9b2f778c586990a054dff100d89,55.4834,0.8508,1.4302,98163
bde51396855219ffe527bfa85bdc59ed,48.5171,0.9385,0.3899,218504
2db411a0737a4a9eba4d9b68541e0ce7,89.7546,0.9251,1.3431,121141
1959e881d4c05176d92d1511330f924e,182.3400,0.8500,1.7379,188876
9b027d83d8ec708803f319535aedbf3d,230.4966,0.8265,3.5804,789256
dfc41ec2676465bee2cfb3bc766b0ff3,35.0762,0.8778,3.1919,294746
9212cf527f2a304414851dd6a8d7fc42,196.9861,0.9142,1.4265,538304
d0261efd3e55848b11c1f71a22049a1e,46.4388,0.8889,3.0764,1149368
b9a688ab96cb1847b4ab2288ad6354fb,1204.7892,0.9246,4.1558,1084031
53fc1da0e1caf50d2e6e7b200850b51b,150.9951,0.8777,3.1803,296381
9779070f0b95a09b54bfc97aa7f41d6a,37.0431,0.7892,0.8592,12620
582428a450d4d2d17db6fec1d3bfa3ce,39.0513,0.9512,0.3534,516408
966261b966173ece5b770ce9cc67420f,10.0000,0.9944,0.4285,521662
47c04ee3a0d07cbbc272f4af73c9ef3c,8.8184,0.8383,1.4717,39060
fb04ad4cd67638d54ff400b9c0bf8726,26.4268,0.8633,1.6489,42581
2f6eb6bd83ac05cc87a24325fd3f9450,32.8491,0.9636,0.3240,1361816
1d485cd178c4f2d8b6838b85e7905522,4.0794,0.9945,0.4882,895460
d58b7011586b7aab745f6def9ca31820,25.2817,0.8646,1.6489,42581
2c89f1892c05c52d968039be0d544b02,4.5443,0.9937,0.4882,701045
00e289099ea9bcef6a056a8c8ba8a3c0,10.0000,0.9934,0.4285,386932
c6b0ea900f2fdddad7fc5afa1b41f89d,13.8174,0.7713,0.6509,3788
1a6a635f5b959e191ec705b2f236568a,410.9488,0.8762,2.7488,183641
2c6909b32a7ba218e95c89c3fff48861,9.0000,0.9933,0.4285,377950
