depth_mode,family,instance,ppd,n_vars,n_clauses,depth,ok_trails,n_probes,up_mean,up_max,up_p90,log_n
d=20,flat30-60,flat30-1.cnf,4.4444,90,300,20,1,72,17.055555555555557,33.0,29.0,4.499809670330265
d=20,flat30-60,flat30-15.cnf,2.8667,90,300,20,2,148,20.283783783783782,35.0,31.0,4.499809670330265
d=20,flat30-60,flat30-16.cnf,4.0,90,300,20,1,76,14.526315789473685,30.0,23.0,4.499809670330265
d=20,flat30-60,flat30-18.cnf,9.4667,90,300,20,2,140,15.785714285714286,36.0,27.0,4.499809670330265
d=20,flat30-60,flat30-2.cnf,4.4167,90,300,20,1,60,20.7,28.0,25.200000000000003,4.499809670330265
d=20,flat30-60,flat30-20.cnf,4.7692,90,300,20,2,164,21.091463414634145,36.0,34.0,4.499809670330265
d=20,flat30-60,flat30-23.cnf,6.3,90,300,20,1,76,15.68421052631579,31.0,25.0,4.499809670330265
d=20,flat30-60,flat30-27.cnf,8.3,90,300,20,1,84,17.916666666666668,31.0,27.700000000000003,4.499809670330265
d=20,flat30-60,flat30-30.cnf,3.5455,90,300,20,2,132,16.242424242424242,29.0,25.0,4.499809670330265
d=20,flat50-115,flat50-1.cnf,13.0952,150,545,20,3,360,24.369444444444444,63.0,44.0,5.0106352940962555
d=20,flat50-115,flat50-10.cnf,12.0769,150,545,20,2,120,21.958333333333332,44.0,39.0,5.0106352940962555
d=20,flat50-115,flat50-100.cnf,11.6667,150,545,20,3,360,26.261111111111113,59.0,48.0,5.0106352940962555
d=20,flat50-115,flat50-1000.cnf,8.0,150,545,20,2,240,25.2125,53.0,42.0,5.0106352940962555
d=20,flat50-115,flat50-101.cnf,6.3529,150,545,20,2,240,22.108333333333334,71.0,44.0,5.0106352940962555
d=20,flat50-115,flat50-102.cnf,14.8947,150,545,20,3,360,27.830555555555556,71.0,49.0,5.0106352940962555
d=20,flat50-115,flat50-103.cnf,8.3,150,545,20,2,240,25.291666666666668,66.0,46.099999999999994,5.0106352940962555
d=20,flat50-115,flat50-104.cnf,15.5714,150,545,20,2,236,26.66949152542373,58.0,44.0,5.0106352940962555
d=20,flat50-115,flat50-105.cnf,15.8235,150,545,20,2,240,25.454166666666666,61.0,50.0,5.0106352940962555
d=20,flat50-115,flat50-106.cnf,6.5625,150,545,20,1,120,27.5,70.0,55.0,5.0106352940962555
d=20,flat50-115,flat50-107.cnf,12.2778,150,545,20,2,240,27.054166666666667,57.0,47.0,5.0106352940962555
d=20,flat50-115,flat50-108.cnf,7.875,150,545,20,3,360,26.852777777777778,61.0,46.0,5.0106352940962555
d=20,flat50-115,flat50-109.cnf,15.5,150,545,20,3,360,23.627777777777776,58.0,45.0,5.0106352940962555
d=20,flat50-115,flat50-11.cnf,8.8333,150,545,20,1,120,23.325,62.0,46.0,5.0106352940962555
d=20,flat50-115,flat50-110.cnf,9.1,150,545,20,2,240,23.754166666666666,60.0,43.19999999999999,5.0106352940962555
d=20,flat50-115,flat50-111.cnf,13.4375,150,545,20,3,360,26.458333333333332,63.0,45.0,5.0106352940962555
d=20,flat50-115,flat50-112.cnf,9.0667,150,545,20,2,240,31.766666666666666,82.0,54.0,5.0106352940962555
d=20,flat50-115,flat50-113.cnf,11.6364,150,545,20,2,236,26.635593220338983,66.0,45.0,5.0106352940962555
d=20,flat50-115,flat50-114.cnf,12.3333,150,545,20,2,240,27.395833333333332,58.0,43.0,5.0106352940962555
d=20,flat50-115,flat50-115.cnf,7.8462,150,545,20,3,244,26.639344262295083,58.0,48.0,5.0106352940962555
d=20,flat50-115,flat50-116.cnf,6.2143,150,545,20,2,208,23.870192307692307,54.0,45.200000000000045,5.0106352940962555
