depth_mode,scope,n,n_vars_distinct,rho_up_mean,p_up_mean,partial_rho_up_mean,partial_p_up_mean,rho_up_max,p_up_max,partial_rho_up_max,partial_p_up_max,rho_log_n
d=0.2n,flat30-60,14,1,-0.1188,0.6858,,,-0.0486,0.869,,,
d=0.2n,flat50-115,12,1,0.3427,0.2756,,,0.1366,0.6721,,,
d=0.2n,uf100-430,25,1,-0.1685,0.4208,,,0.0583,0.7819,,,
d=0.2n,uf150-645,25,1,-0.1723,0.4102,,,-0.0443,0.8333,,,
d=0.2n,uf20-91,25,1,-0.1659,0.4281,,,-0.0081,0.9692,,,
d=0.2n,uf50-218,25,1,-0.1158,0.5815,,,-0.1574,0.4525,,,
d=0.2n,uuf50-218,25,1,0.4438,0.0262,,,0.1109,0.5978,,,
d=0.2n,POOLED,151,5,0.5165,0.0,-0.3998,0.0,0.7428,0.0,0.1846,0.0232,0.7308
d=20,flat30-60,9,1,-0.1167,0.765,,,0.4034,0.2817,,,
d=20,flat50-115,25,1,0.1669,0.4252,,,0.0286,0.8922,,,
d=20,uf100-430,25,1,-0.1685,0.4208,,,0.0583,0.7819,,,
d=20,uf150-645,25,1,-0.1023,0.6265,,,-0.0556,0.7919,,,
d=20,uf50-218,22,1,-0.1813,0.4194,,,-0.3023,0.1716,,,
d=20,uuf50-218,16,1,0.0382,0.8882,,,-0.0896,0.7413,,,
d=20,POOLED,122,4,-0.0631,0.4897,-0.5905,0.0,0.4949,0.0,0.3104,0.0005,0.4231
