family,depth,n_instances,n_trials,reach_rate,mean,median,std,cv,min,max,p50,p90,p99,p90_over_p50,frac_zero,frac_conflict,mean_cascade_depth,rho_occ_l,rho_occ_neg_l,rho_near_unit,rho_two_hop
flat30-60,5,20,11996,1.0,12.038,5.0,15.727,1.306,0,73,5.0,38.0,62.0,7.6,0.308,0.174,4.35,-0.454,0.577,0.757,-0.45
flat30-60,10,20,5294,1.0,15.681,14.0,13.546,0.864,0,62,14.0,34.0,56.0,2.43,0.132,0.613,5.56,-0.139,0.284,0.461,-0.119
flat30-60,20,8,742,0.275,20.183,20.0,8.408,0.417,0,44,20.0,31.0,42.0,1.55,0.004,0.993,6.08,0.003,0.003,0.003,0.003
flat50-115,5,20,23722,1.0,13.17,5.0,21.607,1.641,0,126,5.0,45.0,94.0,9.0,0.381,0.147,3.3,-0.608,0.72,0.842,-0.603
flat50-115,10,20,17710,1.0,21.115,11.0,24.018,1.137,0,118,11.0,57.0,94.0,5.18,0.262,0.434,5.06,-0.371,0.492,0.673,-0.364
flat50-115,20,20,12136,0.82,24.393,25.0,15.427,0.632,0,83,25.0,44.0,59.65,1.76,0.095,0.841,5.55,-0.093,0.168,0.29,-0.092
flat50-115,40,2,302,0.2,24.136,23.0,11.909,0.493,0,54,23.0,41.0,51.0,1.78,0.01,0.983,5.17,-0.01,0.013,0.023,-0.01
uf100-430,5,20,18798,1.0,0.883,0.0,3.34,3.784,0,77,0.0,2.0,11.0,inf,0.695,0.011,0.56,-0.017,0.206,0.986,-0.02
uf100-430,10,20,16800,1.0,6.38,1.0,11.851,1.858,0,80,1.0,24.0,51.0,24.0,0.429,0.198,2.15,0.004,0.283,0.902,0.004
uf100-430,20,20,12398,1.0,13.788,13.0,10.938,0.793,0,55,13.0,29.0,41.0,2.23,0.166,0.749,3.26,0.002,0.21,0.439,-0.0
uf100-430,40,13,1438,0.262,13.499,13.0,6.841,0.507,0,36,13.0,23.0,29.0,1.77,0.014,0.985,3.15,0.001,-0.059,-0.089,0.001
