family,instance,depth,trails_reached,trails_attempted,n_trials,mean,std,cv,rho_occ_l,rho_occ_neg_l,rho_near_unit,rho_two_hop
flat30-60,flat30-1.cnf,5,5,5,566,14.060070671378092,17.476556109437702,1.242992053021078,-0.456844103100712,0.5902112108880407,0.761253188845507,-0.456844103100712
flat30-60,flat30-1.cnf,10,5,5,290,16.53103448275862,10.190269578468067,0.6164326611922694,-0.07444503283606754,0.15632735112421164,0.29716767111707376,-0.07444503283606754
flat30-60,flat30-1.cnf,20,2,5,136,20.044117647058822,7.368469007329986,0.3676125403510191,-0.004278067835450586,-0.004278067835450586,0.006813085132888509,-0.004278067835450586
flat30-60,flat30-10.cnf,5,5,5,584,12.321917808219178,17.828200503525796,1.4468689680460067,-0.4945848569850478,0.6139824895531055,0.7770901563394813,-0.4945848569850478
flat30-60,flat30-10.cnf,10,5,5,262,11.816793893129772,11.150521199245736,0.9436164580757049,-0.21513351422635596,0.3851028949542177,0.5818457503250751,-0.21513351422635596
flat30-60,flat30-10.cnf,20,2,5,152,18.763157894736842,8.175019972517687,0.4356953141033269,0.009305950998307923,0.009305950998307923,-0.014160720124771818,0.009305950998307923
flat30-60,flat30-100.cnf,5,5,5,736,9.296195652173912,14.862610227889258,1.5987841461161203,-0.6240838060026611,0.7222691182981982,0.8461324237777899,-0.6240838060026611
flat30-60,flat30-100.cnf,10,5,5,284,16.919014084507044,19.436508698905445,1.1487967680518514,-0.299047053033768,0.44491848199299944,0.6559501986171205,-0.299047053033768
flat30-60,flat30-11.cnf,5,5,5,548,12.014598540145986,13.896317769587148,1.1566194012353823,-0.35381154464964604,0.47313560505984714,0.6727101376318124,-0.35381154464964604
flat30-60,flat30-11.cnf,10,5,5,126,17.61904761904762,15.51508022169767,0.8805856342044622,-0.13661405898317688,0.3567466142615056,0.5556615478947479,-0.13661405898317688
flat30-60,flat30-12.cnf,5,5,5,662,11.371601208459214,14.707464430995076,1.2933503524599814,-0.48422357374778313,0.5675089035036978,0.7536830198875188,-0.48422357374778313
