instance,family,status,result,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time,B_req@on-chip (1 us),B_req@PCIe-class (10 us),B_req@tuned-link (50 us),B_req@ECP5 TCP (measured 790 us)
flat30-1.cnf,flat30-60,ok,SAT,90,300,18,80,3,1,4.4444,0.001667,2.182521825218252,21.825218252182527,109.12609126091262,1724.2381216810973
flat30-10.cnf,flat30-60,ok,SAT,90,300,15,40,0,1,2.6667,0.001815,3.637454531818352,36.37454531818353,181.8727265909176,2873.665544680492
flat30-100.cnf,flat30-60,ok,SAT,90,300,10,43,0,1,4.3,0.002204,2.255813953488372,22.558139534883725,112.79069767441861,1782.1404437208066
flat30-11.cnf,flat30-60,ok,SAT,90,300,13,43,0,1,3.3077,0.001558,2.9325513196480935,29.32551319648094,146.6275659824047,2316.7771889831206
flat30-12.cnf,flat30-60,ok,SAT,90,300,10,44,0,1,4.4,0.001449,2.204545454545454,22.045454545454547,110.22727272727272,1741.6372518180608
flat30-13.cnf,flat30-60,ok,SAT,90,300,9,67,1,1,7.4444,0.001682,1.3029928536886786,13.02992853688679,65.14964268443394,1029.3917452043777
flat30-14.cnf,flat30-60,ok,SAT,90,300,15,41,0,1,2.7333,0.001654,3.5488237661434896,35.4882376614349,177.44118830717449,2803.64537665074
flat30-15.cnf,flat30-60,ok,SAT,90,300,15,43,0,1,2.8667,0.001893,3.3836815850978477,33.83681585097848,169.1840792548924,2673.179582097697
flat30-16.cnf,flat30-60,ok,SAT,90,300,10,40,0,1,4.0,0.001707,2.425,24.250000000000004,121.25,1915.800976999867
flat30-17.cnf,flat30-60,ok,SAT,90,300,11,71,1,1,6.4545,0.002418,1.5028274847005962,15.028274847005965,75.14137423502982,1187.2653045161464
flat30-18.cnf,flat30-60,ok,SAT,90,300,15,142,6,1,9.4667,0.001488,1.0246442794215513,10.246442794215515,51.23221397107757,809.4905202445909
flat30-19.cnf,flat30-60,ok,SAT,90,300,7,48,2,1,6.8571,0.001458,1.414592174534424,14.145921745344245,70.72960872672121,1117.5575546513057
flat30-2.cnf,flat30-60,ok,SAT,90,300,12,53,2,1,4.4167,0.001818,2.1962098399257366,21.962098399257368,109.81049199628683,1735.0519410418342
flat30-20.cnf,flat30-60,ok,SAT,90,300,13,62,3,1,4.7692,0.001387,2.0338840895747716,20.33884089574772,101.69420447873858,1606.8111859430237
flat30-21.cnf,flat30-60,ok,SAT,90,300,10,47,1,1,4.7,0.001614,2.0638297872340425,20.638297872340427,103.19148936170212,1630.4689165956315
flat30-22.cnf,flat30-60,ok,SAT,90,300,10,52,1,1,5.2,0.00227,1.8653846153846152,18.653846153846157,93.26923076923076,1473.693059230667
flat30-23.cnf,flat30-60,ok,SAT,90,300,10,63,1,1,6.3,0.001905,1.5396825396825395,15.396825396825399,76.98412698412699,1216.3815726983285
flat30-24.cnf,flat30-60,ok,SAT,90,300,12,70,2,1,5.8333,0.001716,1.6628666449522567,16.62866644952257,83.14333224761283,1313.6996053690823
flat30-25.cnf,flat30-60,ok,SAT,90,300,11,82,2,1,7.4545,0.00146,1.30122744650882,13.012274465088202,65.061372325441,1027.9970364208825
flat30-26.cnf,flat30-60,ok,SAT,90,300,17,44,0,1,2.5882,0.001471,3.7477783787960743,37.477783787960746,187.38891893980372,2960.82370295938
flat30-27.cnf,flat30-60,ok,SAT,90,300,10,83,3,1,8.3,0.002108,1.1686746987951806,11.686746987951809,58.433734939759034,923.2775792770443
flat30-28.cnf,flat30-60,ok,SAT,90,300,16,49,1,1,3.0625,0.001578,3.16734693877551,31.673469387755105,158.3673469387755,2502.270663836561
flat30-29.cnf,flat30-60,ok,SAT,90,300,15,119,5,1,7.9333,0.001676,1.2226942130008949,12.226942130008952,61.134710650044745,965.9541310677106
flat30-3.cnf,flat30-60,ok,SAT,90,300,13,62,2,1,4.7692,0.001568,2.0338840895747716,20.33884089574772,101.69420447873858,1606.8111859430237
flat30-30.cnf,flat30-60,ok,SAT,90,300,11,39,0,1,3.5455,0.001536,2.7358623607389645,27.358623607389653,136.79311803694824,2161.3887767591223
flat30-31.cnf,flat30-60,ok,SAT,90,300,13,67,1,1,5.1538,0.00167,1.8821064069230469,18.821064069230474,94.10532034615235,1486.9036260622197
flat30-32.cnf,flat30-60,ok,SAT,90,300,11,95,5,1,8.6364,0.001609,1.1231531656708813,11.231531656708816,56.157658283544066,887.3146111805229
flat30-33.cnf,flat30-60,ok,SAT,90,300,20,190,10,1,9.5,0.001975,1.0210526315789472,10.210526315789474,51.05263157894737,806.6530429473124
flat30-34.cnf,flat30-60,ok,SAT,90,300,10,74,3,1,7.4,0.001584,1.3108108108108107,13.108108108108109,65.54054054054053,1035.5680956756037
flat30-35.cnf,flat30-60,ok,SAT,90,300,7,37,1,1,5.2857,0.001516,1.8351400949732295,18.351400949732298,91.75700474866147,1449.7992523222028
flat30-36.cnf,flat30-60,ok,SAT,90,300,16,97,5,1,6.0625,0.001405,1.5999999999999999,16.000000000000004,80.0,1264.0336343091906
flat30-37.cnf,flat30-60,ok,SAT,90,300,11,42,0,1,3.8182,0.001491,2.5404640930281284,25.40464093028129,127.02320465140642,2007.0200377139668
