family,hash,ppd,modularity,degree_cv,n_clauses
prime-factoring,16afc4779f2d718b64d7309da9f10921,343.1572,0.7983,0.8647,24320
prime-factoring,b532dc74c2e6d021f871f0687b7d1670,207.7979,0.7020,0.5198,6563
prime-factoring,62f271739834123f3f422793ca674b08,229.6083,0.7016,0.5198,6563
prime-factoring,066813ab5f3b7b1cc6d2847c37f5fae7,124.6941,0.7040,0.5333,4777
prime-factoring,ee69be884f3afc678a0e410b8c5976fc,134.2780,0.7032,0.5333,4777
prime-factoring,e7ddfa6838137e173f764afa8df65e3e,341.9646,0.7985,0.8647,24320
prime-factoring,ab030e89c239733ae62707ca8026e1e4,326.8168,0.7987,0.8647,24320
prime-factoring,299f6840fe0b2512964e1ef55673695b,214.9489,0.7058,0.5198,6563
prime-factoring,07a160f359fe4e472773551d69816e83,68.1382,0.7568,0.9343,16685
prime-factoring,fb5e188e3ec69c173289fbc763529da6,183.7992,0.7029,0.5198,6563
prime-factoring,3e4aec55f52f71c982e583694e021a19,217.1150,0.7242,0.4637,9177
prime-factoring,81bf80b9e232c42ac99d4cad19610d29,302.8197,0.7911,0.8026,17845
prime-factoring,f1b5200d9e006c83bdda240eb72faede,67.5095,0.7519,1.0426,15417
prime-factoring,2295b35f6bc78b67ebdbe42e53806e6b,236.2649,0.7092,0.5446,7967
prime-factoring,556257a5ea114521461534fcf5c89897,55.5450,0.7531,0.9357,18427
prime-factoring,49c45ca238617a9d02a31df7d38f978a,270.7155,0.7924,0.8026,17845
prime-factoring,2bc976e4bdddb8a6ea28bd0ad3ad12b0,323.7554,0.7990,0.8647,24320
prime-factoring,c6a0c7e02209cd74766491959216440f,208.1487,0.7029,0.5198,6563
prime-factoring,7a40cc4fd0c02af9f410e804d5ef2041,90.9073,0.7029,0.5333,4777
prime-factoring,e58941877a7aa78256586505edd7e13c,277.5234,0.7372,0.6957,11001
prime-factoring,ecf294a9e0aafe99f04d09919898e46e,230.0529,0.7099,0.5446,7967
prime-factoring,028d0cc7af63e9bba5795f20e24db4f6,478.9435,0.7979,0.8647,24320
prime-factoring,4664078c22f1580c5bdc69b8dc941db5,261.2675,0.7350,0.6957,11001
prime-factoring,a43c360a2b66e1fdaba7d03b4376f994,278.5519,0.7351,0.6957,11001
prime-factoring,0e814617b112745eeb168f00636ef0f6,84.2941,0.7021,0.5333,4777
prime-factoring,735b57472f3bcbb25318f7f1bac4fdc1,303.9055,0.7917,0.8026,17845
prime-factoring,e8fe33f0783b5108cad8f94a0a122df0,80.1846,0.7034,0.5333,4777
prime-factoring,23f355a2b021b09a01f64deef40ecaee,272.4863,0.7374,0.6959,11001
prime-factoring,3db38a90085107e738587a90c790384e,56.8733,0.7344,0.9707,12700
prime-factoring,fd3b5e252b0e95452180738088d36a82,234.0915,0.7250,0.4802,9776
prime-factoring,037a652d6e4bea27881073be25176934,469.5796,0.7991,0.8647,24320
prime-factoring,68425fd1127ff1ca62f66506f9d793bc,342.4614,0.7983,0.8647,24320
prime-factoring,308f0d8bfd2cadeccf813dd5f612aeb6,190.6541,0.7086,0.5446,7967
prime-factoring,b92512dfdd2a8ad84cf8cf719ce7af23,267.2599,0.7359,0.6957,11001
prime-factoring,2883d4bcaa15427ed548e6ba9c0651fb,284.4305,0.7353,0.6957,11001
prime-factoring,74fe9c21efb1b347e5c336a782710ac2,276.9180,0.7361,0.6957,11001
prime-factoring,d5f5532ca4867127669c01fe6ff60982,146.6347,0.7038,0.5333,4777
prime-factoring,fb9052a8a42804194b26ab7757d6be78,326.0014,0.7910,0.8026,17845
prime-factoring,f51bc5399c130946946701c3399c97c9,319.4694,0.7907,0.8026,17845
prime-factoring,a9bb2d04ca1b473d2ec0528bec3fcdff,322.9013,0.7915,0.8026,17845
prime-factoring,22a7132d84d753d8702475e8ced552e3,114.9760,0.7011,0.5333,4777
prime-factoring,e2c61178e6c7974dbee5b40f5f11d0a8,284.3690,0.7923,0.8026,17845
