family,instance,ppd_orig,ppd_clean,modularity,n_edges,degree_cv
flat30-60,flat30-1.cnf,4.4444,3.5,0.5636944444444445,270,0.19079961840114482
flat30-60,flat30-15.cnf,2.8667,3.25,0.5789555555555556,270,0.1826767268068211
flat30-60,flat30-16.cnf,4.0,3.64,0.5643222222222223,270,0.1826767268068211
flat30-60,flat30-18.cnf,9.4667,3.25,0.5756944444444445,270,0.19079961840114482
flat30-60,flat30-2.cnf,4.4167,3.25,0.5676277777777778,270,0.2023735560288826
flat30-60,flat30-20.cnf,4.7692,3.25,0.5278111111111111,270,0.22373238427925649
flat30-60,flat30-21.cnf,4.7,3.5,0.5651777777777778,270,0.22031642209035765
flat30-60,flat30-22.cnf,5.2,3.64,0.55635,270,0.20973498526698836
flat30-60,flat30-23.cnf,6.3,3.25,0.5624444444444445,270,0.22373238427925649
flat30-60,flat30-24.cnf,5.8333,3.7917,0.5719611111111111,270,0.18267672680682104
flat30-60,flat30-25.cnf,7.4545,3.5,0.5566722222222222,270,0.23041242944001403
flat30-60,flat30-27.cnf,8.3,3.64,0.5669055555555556,270,0.2023735560288826
flat30-60,flat30-3.cnf,4.7692,3.25,0.5520166666666667,270,0.16523731656776824
flat30-60,flat30-30.cnf,3.5455,3.25,0.5474055555555556,270,0.23368085410027437
flat50-115,flat50-1.cnf,13.0952,4.0811,0.5644760542041916,495,0.22264037787086974
flat50-115,flat50-10.cnf,12.0769,3.9737,0.552936621496507,495,0.21031064188268864
flat50-115,flat50-100.cnf,11.6667,3.775,0.561449372948405,495,0.19913560778220185
flat50-115,flat50-1000.cnf,8.0,3.775,0.5647504418819965,495,0.22772027964071284
flat50-115,flat50-101.cnf,6.3529,3.5116,0.5597289790421682,495,0.25158590037092377
flat50-115,flat50-102.cnf,14.8947,3.775,0.5723945795808434,495,0.25309694038550123
flat50-115,flat50-103.cnf,8.3,3.6829,0.5839946132480431,495,0.1893198628023984
flat50-115,flat50-104.cnf,15.5714,3.8718,0.5629896473360828,495,0.23915412923263443
flat50-115,flat50-105.cnf,15.8235,3.8718,0.5597794798417642,495,0.2260396642020839
flat50-115,flat50-106.cnf,6.5625,3.6829,0.5558151670734787,495,0.2156811396257663
flat50-115,flat50-107.cnf,12.2778,3.5952,0.5318761047049912,495,0.23104483914113216
flat50-115,flat50-108.cnf,7.875,3.5952,0.5633902870128777,495,0.25459901256594764
flat50-115,flat50-109.cnf,15.5,3.4318,0.5669775271441798,495,0.2961393864570591
flat50-115,flat50-11.cnf,8.8333,3.4318,0.5729770221361838,495,0.22434645935591957
flat50-115,flat50-110.cnf,9.1,3.5952,0.5460853463513172,495,0.24232187161526877
