hash,family,ppd,modularity,degree_cv,n_clauses,skipped_long
022dc7e9935f3570c088db58bd84b2c6,planning,4.696,0.7616,0.5289,25537,0
07bbbb292324c8d8baeb232e144349fa,miter,262.663,0.8353,0.2780,14321,0
07e6413459f92b613498a719125b6239,scheduling,836.5424,0.8483,0.7279,63952,0
081f111af59344b61346367a930e24f6,scheduling,18.7949,0.6100,0.6633,1163,0
0a7f0ceb23af7028dc9a46f3da3bb027,bitvector,84.0032,0.8093,1.2070,39035,0
1169b7c01112d97a6835d259052284ba,planning,22.5,0.6226,0.5695,1559,0
14f630622696acf0317df1ff5e20b1e9,fpga-routing,9.0,0.8795,0.0418,1596,0
151a12771ab52c3b85df72a3d1f7f32d,planning,39.9093,0.9025,0.4702,21688,0
1911bb724b626d44649cdd27bf727098,quasigroup-completion,16.9842,0.4541,1.7343,19988,0
193060ecba8e768744195ef72f9751fd,hardware-verification,36.0933,0.8998,2.1906,508465,0
1c4954b4113ddc4413612977b85818af,hardware-verification,27.0582,0.8253,1.3428,39571,0
1e2c7326c2e7898d40665a86a747fa0e,hardware-verification,294.7169,0.6187,2.8863,214185,25
214a609d6a70d397010c27e42a2463fe,hardware-verification,27.3906,0.5831,2.1208,48233,5
24706f6663f0524f28b62e0c8b6abf1e,planning,24.4959,0.8493,0.7237,16209,0
24bf910d2b9da558fb3e71a4dbe79ba3,prime-factoring,177.0023,0.7006,0.5198,6563,0
27ebd53e3afdad974c51aed6f7ccf513,quasigroup-completion,34.3333,0.3139,0.9043,14822,0
28f29fe949422ec88892e18073de065c,coloring,37.2806,0.5113,0.0000,4059,0
29bbe29cc785a954ce4c60f3266948e9,hardware-verification,38.1813,0.8796,1.5640,222379,0
29fb7d9de75c58f6f0da7b4df997f0af,quasigroup-completion,7.811,0.4534,1.7575,19476,0
2c68c459d052b61e757d1fc261e56a9a,testpattern-generation,21.7551,0.8749,0.4234,7298,0
30c26154809e48143f2f4328c9736578,miter,47.6629,0.7807,1.9014,35229,1
32c362d1c770a4eb66a5c78346c5e917,quasigroup-completion,19.8477,0.3319,0.7829,15891,0
34aebb93dc0f9f68f6cc8b51efe1cc0c,fpga-routing,307.2376,0.8502,0.7797,73478,0
381218f7cd0f1771eede9252a5963a48,hardware-verification,81.7823,0.8395,1.8729,109045,0
3988a60c6e93167763c6fd2a347d5859,scheduling,81.3188,0.7331,0.6059,14188,0
3e8a93289f23c6384b4373981d241b03,cryptography,10.9124,0.5501,1.0655,126580,0
3eee3f5f89db21beef9393597fa8a107,bitvector,40.1243,0.9424,0.2592,292188,0
3efe71750bfdf2724c21e0d818dd90db,quasigroup-completion,1.3801,0.2854,1.7078,60708,0
3f8635f474f26eed1c88c81c49f8a93a,cryptography,11.2299,0.8187,0.5354,211949,0
42cbec6edb9f3f2ccb461c800db0707a,hardware-verification,38.5229,0.7230,0.9424,8394,0
46f9591d706cc38ff7319613d80b9d4c,testpattern-generation,44.6634,0.8723,0.4237,7307,0
4777e305e53a46a97e784abae072c204,planning,6.5566,0.6788,0.5102,5077,0
487c01b15c84c08657895a10cbe565de,scheduling,80.3638,0.6758,0.6275,5052,0
497e516c4d926d82596e88fb263a0b87,hardware-verification,57.1709,0.8140,1.4314,38509,0
4b831ae59da3bc1b197c8dc9c69af18c,miter,46.0389,0.7794,1.9014,35229,1
4bc4e48017602be956d46b317739149b,cryptography,55.9332,0.8187,0.5354,211949,0
4cf373cad2b740fcf21c55e830e28a98,cryptography,36.104,0.7039,1.0020,478985,0
4db602d4e22062c3dcc01bc740300752,quasigroup-completion,22.3557,0.4602,1.2521,12666,0
