family,instance,ppd_clean,n_reps,modularity,n_edges,degree_cv
uf100-430,uf100-092.cnf,18.46922432012183,12,0.17844720870140018,1130,0.3109571736844286
uf100-430,uf100-0251.cnf,14.778937997963073,12,0.17418664743705306,1145,0.27490166365184193
uf100-430,uf100-0342.cnf,13.621498698006544,12,0.1814193858542155,1147,0.24352299382778292
uf100-430,uf100-061.cnf,18.23383523704819,12,0.17401959016886007,1142,0.318860041355373
uf100-430,uf100-0701.cnf,17.605609521328944,12,0.1715521903731747,1142,0.26887385449733087
uf100-430,uf100-0451.cnf,19.431117433122242,12,0.18053602547923803,1143,0.2530573304186444
uf100-430,uf100-018.cnf,17.032471815676317,12,0.166516435310378,1144,0.28868748765583163
uf100-430,uf100-0860.cnf,18.30871607722425,12,0.1778703202932516,1120,0.278194016498168
uf100-430,uf100-0399.cnf,17.99449565224191,12,0.17286581335256296,1148,0.25804533142488073
uf100-430,uf100-0818.cnf,18.52488836480225,12,0.1696364401177814,1156,0.25496902769732976
uf100-430,uf100-0725.cnf,19.895532682211744,12,0.17600865332612223,1131,0.2982026542727653
uf100-430,uf100-0465.cnf,12.65646193897118,12,0.1795420948260321,1134,0.24796901396554658
uf100-430,uf100-0746.cnf,18.686272648703063,12,0.17768643711315427,1129,0.27379541504489485
uf100-430,uf100-0425.cnf,18.988425286016934,12,0.17439697133585724,1131,0.2666067494913876
uf100-430,uf100-0775.cnf,17.29823116545781,12,0.1763091160386996,1146,0.3002312671478618
uf100-430,uf100-0958.cnf,16.438984354260086,12,0.17384051439216394,1151,0.2596867085560954
uf100-430,uf100-090.cnf,18.919935107854506,12,0.1654443843519019,1147,0.2863652836769128
uf100-430,uf100-0840.cnf,18.21134010146736,12,0.18144462472207198,1127,0.3000290230918034
uf100-430,uf100-0378.cnf,18.05186507324688,12,0.18284237726098193,1135,0.2829535129358484
uf100-430,uf100-0290.cnf,18.73699550997343,12,0.17850609939306533,1142,0.30524382167036834
uf100-430,uf100-0186.cnf,7.4791835379658655,12,0.17260020431464457,1117,0.2757834675641485
uf100-430,uf100-0253.cnf,18.52639090661299,12,0.16827594495523104,1134,0.29677437471048695
uf100-430,uf100-0307.cnf,18.220916487490953,12,0.18283636800673037,1139,0.27534291861264215
uf100-430,uf100-0919.cnf,19.55003660006432,12,0.1722901267952647,1148,0.271122002777606
uf100-430,uf100-0664.cnf,13.076400883828613,12,0.1805600624962442,1122,0.23823112292746476
uf100-430,uf100-0649.cnf,18.660436531048635,12,0.1717649179736795,1147,0.29265516904545497
uf100-430,uf100-0464.cnf,15.9426568954095,12,0.16903070728922542,1130,0.2986094793654415
uf100-430,uf100-0659.cnf,19.90249214226624,12,0.17214590469322757,1147,0.2720160596238677
uf100-430,uf100-0683.cnf,19.597768270249627,12,0.17488612463193315,1146,0.2589845350080423
uf100-430,uf100-0937.cnf,11.025181944742359,12,0.1774713058109489,1129,0.26977536198735275
uf100-430,uf100-0896.cnf,19.605138601094644,12,0.17655309176131243,1124,0.26015377135893314
uf100-430,uf100-0137.cnf,17.059831376762116,12,0.18845862628447813,1113,0.26592284905024044
uf100-430,uf100-0638.cnf,16.865608660292715,12,0.18340364160807646,1122,0.2867889011920378
uf100-430,uf100-0692.cnf,16.73549076810726,12,0.18260441079262063,1143,0.2878452174796041
uf100-430,uf100-0755.cnf,19.488690029490606,12,0.17783787032029327,1148,0.256630081275449
uf100-430,uf100-0680.cnf,18.43225030185413,12,0.1761168199026501,1130,0.24476610039339716
uf100-430,uf100-0220.cnf,18.537773794439033,12,0.17397872723994956,1129,0.3044473589387438
uf100-430,uf100-073.cnf,17.970878004803733,12,0.176524247340905,1137,0.2596867085560954
uf100-430,uf100-0511.cnf,18.59870762073232,12,0.18583618772910282,1120,0.3086058569702491
uf100-430,uf100-0551.cnf,10.64807100283443,12,0.1704020191094285,1136,0.24991963606998976
uf100-430,uf100-0610.cnf,16.428857160562682,12,0.17803857941229495,1140,0.2661510111248609
uf100-430,uf100-0333.cnf,18.004381469925445,12,0.18830959677903972,1146,0.21800857361885861
uf100-430,uf100-096.cnf,17.976037124805245,12,0.17351120725917915,1130,0.2928625053584235
uf100-430,uf100-0176.cnf,19.29650173678027,12,0.1745640286040502,1138,0.33008433849620966
uf100-430,uf100-0821.cnf,19.480139574775926,12,0.16348176191334657,1148,0.2589845350080423
uf100-430,uf100-0233.cnf,18.90270396057687,12,0.16901267952647075,1128,0.26546593660094947
uf100-430,uf100-07.cnf,15.849529260520402,12,0.17657352322576772,1137,0.27335166205462985
uf100-430,uf100-0188.cnf,15.533169333865853,12,0.17287903371191635,1143,0.27666246092460955
uf100-430,uf100-072.cnf,19.222460989260913,12,0.17222041944594677,1140,0.26546593660094947
uf100-430,uf100-0158.cnf,17.109723814852174,12,0.18376780241572022,1118,0.2982026542727653
uf100-430,uf100-052.cnf,19.057209440079305,12,0.1683708911724055,1155,0.2784121223854518
uf100-430,uf100-0485.cnf,9.944111660306834,12,0.18130881557598705,1125,0.29057366916349364
uf100-430,uf100-0617.cnf,16.169522295608175,12,0.17185746048915332,1151,0.2764429746061062
uf100-430,uf100-0748.cnf,20.010235294366282,12,0.1818508503094766,1141,0.26316947531492124
uf100-430,uf100-0732.cnf,17.357152636793547,12,0.16962081605672735,1149,0.3115422300317798
uf100-430,uf100-0574.cnf,16.85489464361376,12,0.18298780121386934,1134,0.2853034880901643
uf100-430,uf100-0271.cnf,18.522110621169855,12,0.16409470584700442,1136,0.30083718354049466
uf100-430,uf100-0605.cnf,18.986630717537984,12,0.1772982392885043,1119,0.276881773254669
uf100-430,uf100-0777.cnf,18.909958238017907,12,0.17025298960399013,1139,0.24101754659144226
uf100-430,uf100-0928.cnf,18.468350786575723,12,0.16641788354065262,1148,0.24624954488592177
uf100-430,uf100-0977.cnf,18.390252953085355,12,0.16532780481942194,1146,0.3082122268904402
uf100-430,uf100-0832.cnf,14.984915610599149,12,0.18223303887987502,1136,0.2751223795955888
uf100-430,uf100-0177.cnf,18.155681244558135,12,0.1855393305690764,1128,0.2474789561467152
uf100-430,uf100-0843.cnf,12.32165070337176,12,0.1848013941469864,1134,0.29161627627771336
uf100-430,uf100-0976.cnf,17.207434771087737,12,0.17880656210564272,1119,0.29430976975855644
uf100-430,uf100-0875.cnf,19.058913312441533,12,0.17991707229132864,1149,0.2760034783431082
uf100-430,uf100-0747.cnf,18.055908440895156,12,0.17183702902469805,1131,0.2788478223740495
uf100-430,uf100-0303.cnf,12.320974697137487,12,0.17712637461691003,1147,0.2882666601906267
uf100-430,uf100-0956.cnf,18.512107213747615,12,0.180706688299982,1140,0.27268467855870093
uf100-430,uf100-0351.cnf,18.679806662506223,12,0.169001862868818,1133,0.2963650305505406
uf100-430,uf100-0978.cnf,17.614126847143165,12,0.17829337179256055,1139,0.3156072586059135
uf100-430,uf100-0189.cnf,10.981512637837142,12,0.1698022955351241,1147,0.2848776617512101
uf100-430,uf100-0980.cnf,17.781597659689584,12,0.17101135749053542,1145,0.2681957352473849
uf100-430,uf100-0248.cnf,16.114372960088126,12,0.1711964425214831,1139,0.2622452600799023
uf100-430,uf100-0785.cnf,17.956428771941464,12,0.17302686136650441,1132,0.2897368822017316
uf100-430,uf100-0576.cnf,18.19427181867243,12,0.1789603990144823,1137,0.27445969927654723
uf100-430,uf100-0193.cnf,16.88736177769171,12,0.1656054323658434,1135,0.2901555773366381
uf100-430,uf100-0494.cnf,18.592617197470524,12,0.17339943513010037,1154,0.2838103007043485
uf100-430,uf100-0837.cnf,16.81469934785295,12,0.1806009254251547,1129,0.26085279753079627
uf100-430,uf100-0839.cnf,19.185060149371743,12,0.17753019650261403,1136,0.2829535129358484
uf100-430,uf100-0665.cnf,17.803325956936728,12,0.18005408328826392,1120,0.2803674402873331
uf100-430,uf100-0477.cnf,17.5028441039833,12,0.17257496544678808,1132,0.21379137502363552
uf100-430,uf100-0513.cnf,13.441364390324019,12,0.18466919055345235,1124,0.2955446413489297
uf100-430,uf100-0625.cnf,20.00036519930946,12,0.16987801213869358,1146,0.25281735186260884
uf100-430,uf100-0812.cnf,18.09132210488685,12,0.17638843819482003,1135,0.2838103007043485
uf100-430,uf100-0971.cnf,17.904363277153095,12,0.16732047352923504,1137,0.27179282112945274
uf100-430,uf100-0600.cnf,19.45672249512521,12,0.18207920197103541,1136,0.29677437471048695
uf100-430,uf100-0836.cnf,11.63919849030613,12,0.1695751457244156,1131,0.3335599690617389
uf100-430,uf100-06.cnf,11.06013784852962,12,0.1718538549366024,1134,0.2895273075759716
uf100-430,uf100-0809.cnf,16.592837371512957,12,0.17353524427618533,1134,0.2661510111248609
uf100-430,uf100-0753.cnf,18.284255850994843,12,0.17076858361877292,1150,0.27993410549930076
uf100-430,uf100-0191.cnf,19.274402815403022,12,0.17277206898623884,1125,0.25804533142488073
uf100-430,uf100-0591.cnf,18.940549890951793,12,0.16434228712216817,1163,0.2474789561467152
uf100-430,uf100-0392.cnf,16.903867334089576,12,0.16854035214229912,1141,0.28273891031647647
uf100-430,uf100-0561.cnf,10.252277508604676,12,0.18651162790697676,1132,0.26131777614854346
uf100-430,uf100-0504.cnf,17.802138656339764,12,0.17270115978607053,1152,0.26955026777879176
uf100-430,uf100-085.cnf,19.010705798747445,12,0.17812751637521784,1141,0.2812321067666824
uf100-430,uf100-0130.cnf,19.92516025743525,12,0.17522745027342107,1121,0.28058385671499375
uf100-430,uf100-0339.cnf,18.77777338326987,12,0.18432666306111414,1127,0.27445969927654723
uf100-430,uf100-0933.cnf,18.78807552643485,12,0.1864166816898023,1139,0.2452615788364909
uf150-645,uf150-031.cnf,24.2779122512318,12,0.18261135481975574,1781,0.28764240823243487
uf150-645,uf150-065.cnf,24.83730109190204,12,0.1818707476179984,1794,0.2732618559631574
uf150-645,uf150-06.cnf,23.408822045286662,12,0.1812364374470017,1780,0.28482438869571836
uf150-645,uf150-054.cnf,24.79968455526042,12,0.18613304488912927,1765,0.2614966036390447
uf150-645,uf150-046.cnf,25.596566819769315,12,0.17801066976477106,1795,0.25446163330561095
uf150-645,uf150-048.cnf,25.779677596676716,12,0.17448550768183,1789,0.2808316590608662
uf150-645,uf150-093.cnf,25.075396849860674,12,0.17583451849181073,1776,0.28025662562606
uf150-645,uf150-035.cnf,24.25531390958136,12,0.17528754281593653,1784,0.29195658936123636
uf150-645,uf150-036.cnf,24.29266950112314,12,0.18560610006076023,1789,0.2804004945398614
