family,instance,n_vars,ppd_orig,mode,rep,sat,decisions,propagations,conflicts,ppd
flat30-60,flat30-1.cnf,90,4.4444,identical,0,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,1,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,2,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,3,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,4,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,5,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,6,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,7,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,8,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,9,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,10,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,identical,11,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,0,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,1,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,2,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,3,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,4,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,5,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,6,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,7,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,8,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,9,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,10,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,clause_shuffle,11,True,26,91,0,3.5
flat30-60,flat30-1.cnf,90,4.4444,var_rename,0,True,22,187,4,8.5
flat30-60,flat30-1.cnf,90,4.4444,var_rename,1,True,29,324,8,11.172413793103448
flat30-60,flat30-1.cnf,90,4.4444,var_rename,2,True,22,102,1,4.636363636363637
flat30-60,flat30-1.cnf,90,4.4444,var_rename,3,True,21,163,2,7.761904761904762
flat30-60,flat30-1.cnf,90,4.4444,var_rename,4,True,18,119,1,6.611111111111111
flat30-60,flat30-1.cnf,90,4.4444,var_rename,5,True,16,175,3,10.9375
flat30-60,flat30-1.cnf,90,4.4444,var_rename,6,True,18,127,1,7.055555555555555
flat30-60,flat30-1.cnf,90,4.4444,var_rename,7,True,31,314,7,10.129032258064516
flat30-60,flat30-1.cnf,90,4.4444,var_rename,8,True,15,157,1,10.466666666666667
flat30-60,flat30-1.cnf,90,4.4444,var_rename,9,True,26,138,2,5.3076923076923075
flat30-60,flat30-1.cnf,90,4.4444,var_rename,10,True,27,299,6,11.074074074074074
flat30-60,flat30-1.cnf,90,4.4444,var_rename,11,True,17,139,2,8.176470588235293
flat30-60,flat30-1.cnf,90,4.4444,phases,0,True,22,195,4,8.863636363636363
flat30-60,flat30-1.cnf,90,4.4444,phases,1,True,17,147,1,8.647058823529411
flat30-60,flat30-1.cnf,90,4.4444,phases,2,True,19,189,4,9.947368421052632
flat30-60,flat30-1.cnf,90,4.4444,phases,3,True,14,134,2,9.571428571428571
flat30-60,flat30-1.cnf,90,4.4444,phases,4,True,17,206,6,12.117647058823529
flat30-60,flat30-1.cnf,90,4.4444,phases,5,True,14,157,2,11.214285714285714
flat30-60,flat30-1.cnf,90,4.4444,phases,6,True,13,157,2,12.076923076923077
flat30-60,flat30-1.cnf,90,4.4444,phases,7,True,13,116,1,8.923076923076923
flat30-60,flat30-1.cnf,90,4.4444,phases,8,True,14,157,2,11.214285714285714
flat30-60,flat30-1.cnf,90,4.4444,phases,9,True,22,195,4,8.863636363636363
flat30-60,flat30-1.cnf,90,4.4444,phases,10,True,26,162,3,6.230769230769231
flat30-60,flat30-1.cnf,90,4.4444,phases,11,True,13,157,2,12.076923076923077
flat30-60,flat30-1.cnf,90,4.4444,all,0,True,17,215,6,12.647058823529411
flat30-60,flat30-1.cnf,90,4.4444,all,1,True,19,153,3,8.052631578947368
flat30-60,flat30-1.cnf,90,4.4444,all,2,True,14,102,1,7.285714285714286
flat30-60,flat30-1.cnf,90,4.4444,all,3,True,13,91,0,7.0
flat30-60,flat30-1.cnf,90,4.4444,all,4,True,19,171,5,9.0
