family,instance,n_vars,ppd_orig,mode,rep,sat,decisions,propagations,conflicts,ppd
uf175-753,uf175-01.cnf,175,30.3519,identical,0,True,5288,157578,4348,29.799167927382754
uf175-753,uf175-01.cnf,175,30.3519,identical,1,True,5288,157578,4348,29.799167927382754
uf175-753,uf175-01.cnf,175,30.3519,identical,2,True,5288,157578,4348,29.799167927382754
uf175-753,uf175-01.cnf,175,30.3519,identical,3,True,5288,157578,4348,29.799167927382754
uf175-753,uf175-01.cnf,175,30.3519,identical,4,True,5288,157578,4348,29.799167927382754
uf175-753,uf175-01.cnf,175,30.3519,identical,5,True,5288,157578,4348,29.799167927382754
uf175-753,uf175-01.cnf,175,30.3519,identical,6,True,5288,157578,4348,29.799167927382754
uf175-753,uf175-01.cnf,175,30.3519,identical,7,True,5288,157578,4348,29.799167927382754
uf175-753,uf175-01.cnf,175,30.3519,identical,8,True,5288,157578,4348,29.799167927382754
uf175-753,uf175-01.cnf,175,30.3519,identical,9,True,5288,157578,4348,29.799167927382754
uf175-753,uf175-01.cnf,175,30.3519,clause_shuffle,0,True,3009,87866,2418,29.20106347623795
uf175-753,uf175-01.cnf,175,30.3519,clause_shuffle,1,True,4231,125332,3392,29.622311510281257
uf175-753,uf175-01.cnf,175,30.3519,clause_shuffle,2,True,4982,146049,4039,29.31533520674428
uf175-753,uf175-01.cnf,175,30.3519,clause_shuffle,3,True,7138,221054,5942,30.96861866068927
uf175-753,uf175-01.cnf,175,30.3519,clause_shuffle,4,True,1729,51075,1364,29.540196645459805
uf175-753,uf175-01.cnf,175,30.3519,clause_shuffle,5,True,916,23739,669,25.91593886462882
uf175-753,uf175-01.cnf,175,30.3519,clause_shuffle,6,True,4821,143782,3975,29.82410288321925
uf175-753,uf175-01.cnf,175,30.3519,clause_shuffle,7,True,3263,95812,2620,29.36316273368066
uf175-753,uf175-01.cnf,175,30.3519,clause_shuffle,8,True,4714,140069,3867,29.71340687314383
uf175-753,uf175-01.cnf,175,30.3519,clause_shuffle,9,True,7188,220766,5933,30.713132999443516
uf175-753,uf175-01.cnf,175,30.3519,var_rename,0,True,9480,285986,7889,30.167299578059072
uf175-753,uf175-01.cnf,175,30.3519,var_rename,1,True,2548,74576,2074,29.26844583987441
uf175-753,uf175-01.cnf,175,30.3519,var_rename,2,True,1206,32287,914,26.771973466003317
