family,mode,n_instances,repeats,mean_ppd,within_cv,between_cv,icc,split_half_rho,ceiling_1run,informative,rho_vs_props_csv
uf175-753,all,20,10,28.171,0.0487,0.0243,0.0793,0.3398,0.2816,True,0.7459
uf175-753,clause_shuffle,20,10,28.459,0.0283,0.0249,0.2837,0.7308,0.5326,True,0.7805
uf175-753,identical,20,10,28.381,0.0,0.0453,1.0,1.0,1.0,True,0.6647
uf175-753,phases,20,10,28.213,0.0358,0.0418,0.2536,0.7286,0.5036,True,0.6556
uf175-753,var_rename,20,10,28.296,0.0353,0.0306,0.2246,0.685,0.4739,True,0.6571
uf200-860,all,20,10,31.068,0.0333,0.0231,0.1563,0.4301,0.3953,True,-0.003
uf200-860,clause_shuffle,20,10,31.333,0.0242,0.0161,0.1324,0.5338,0.3639,True,0.3188
uf200-860,identical,20,10,31.254,0.0,0.033,1.0,1.0,1.0,True,0.2165
uf200-860,phases,20,10,31.252,0.0205,0.0176,0.172,0.5586,0.4147,True,0.5594
uf200-860,var_rename,20,10,31.126,0.0264,0.0192,0.1597,0.5534,0.3996,True,0.3128
uf225-960,all,20,10,33.766,0.0312,0.0194,0.1885,0.5797,0.4342,True,0.3083
uf225-960,clause_shuffle,20,10,33.688,0.0228,0.026,0.2063,0.7789,0.4542,True,0.418
uf225-960,identical,20,10,34.055,0.0,0.031,1.0,1.0,1.0,True,0.3158
uf225-960,phases,20,10,33.703,0.0227,0.0285,0.2066,0.6406,0.4545,True,0.4571
uf225-960,var_rename,20,10,33.809,0.022,0.0244,0.1841,0.691,0.429,True,0.4331
uf250-1065,all,20,10,36.334,0.0136,0.0168,0.2037,0.6436,0.4513,True,0.4391
uf250-1065,clause_shuffle,20,10,36.345,0.0131,0.0184,0.1623,0.6489,0.4028,True,0.2391
uf250-1065,identical,20,10,36.58,0.0,0.0157,1.0,1.0,1.0,True,0.4
uf250-1065,phases,20,10,36.338,0.0199,0.0148,0.2078,0.5459,0.4559,True,0.4977
uf250-1065,var_rename,20,10,36.408,0.0118,0.013,0.2366,0.5308,0.4864,True,0.5293
