family,instance,ppd_orig,n_vars,n_clauses,full_sat,full_wall,full_decisions,full_props,full_conflicts,full_ppd,budget,pre_wall,pre_decisions,pre_props,pre_conflicts,pre_ppd,solved_within_prefix,log_n,rel_err
flat30-60,flat30-1.cnf,4.4444,90,300,True,1.4833989553153515e-05,26,91,0,3.5,10,6.249989382922649e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-1.cnf,4.4444,90,300,True,1.4833989553153515e-05,26,91,0,3.5,30,5.1670067477971315e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-1.cnf,4.4444,90,300,True,1.4833989553153515e-05,26,91,0,3.5,100,4.3339969124644995e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-1.cnf,4.4444,90,300,True,1.4833989553153515e-05,26,91,0,3.5,300,3.958004526793957e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-1.cnf,4.4444,90,300,True,1.4833989553153515e-05,26,91,0,3.5,1000,3.999972250312567e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-10.cnf,2.6667,90,300,True,5.95799065195024e-06,27,91,0,3.3703703703703702,10,4.6670029405504465e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-10.cnf,2.6667,90,300,True,5.95799065195024e-06,27,91,0,3.3703703703703702,30,3.875000402331352e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-10.cnf,2.6667,90,300,True,5.95799065195024e-06,27,91,0,3.3703703703703702,100,3.749999450519681e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-10.cnf,2.6667,90,300,True,5.95799065195024e-06,27,91,0,3.3703703703703702,300,3.6249984987080097e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-10.cnf,2.6667,90,300,True,5.95799065195024e-06,27,91,0,3.3703703703703702,1000,3.7500285543501377e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-100.cnf,4.3,90,300,True,4.999979864805937e-06,25,91,0,3.64,10,4.250003257766366e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-100.cnf,4.3,90,300,True,4.999979864805937e-06,25,91,0,3.64,30,4.083005478605628e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-100.cnf,4.3,90,300,True,4.999979864805937e-06,25,91,0,3.64,100,3.6669953260570765e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-100.cnf,4.3,90,300,True,4.999979864805937e-06,25,91,0,3.64,300,3.6669953260570765e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-100.cnf,4.3,90,300,True,4.999979864805937e-06,25,91,0,3.64,1000,3.583001671358943e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-11.cnf,3.3077,90,300,True,7.5410061981529e-06,28,91,0,3.25,10,5.5000127758830786e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-11.cnf,3.3077,90,300,True,7.5410061981529e-06,28,91,0,3.25,30,4.375004209578037e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-11.cnf,3.3077,90,300,True,7.5410061981529e-06,28,91,0,3.25,100,4.04199818149209e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-11.cnf,3.3077,90,300,True,7.5410061981529e-06,28,91,0,3.25,300,3.6669953260570765e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-11.cnf,3.3077,90,300,True,7.5410061981529e-06,28,91,0,3.25,1000,3.749999450519681e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-12.cnf,4.4,90,300,True,5.832989700138569e-06,29,91,0,3.1379310344827585,10,5.0000089686363935e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-12.cnf,4.4,90,300,True,5.832989700138569e-06,29,91,0,3.1379310344827585,30,4.5000051613897085e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-12.cnf,4.4,90,300,True,5.832989700138569e-06,29,91,0,3.1379310344827585,100,4.291010554879904e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-12.cnf,4.4,90,300,True,5.832989700138569e-06,29,91,0,3.1379310344827585,300,4.1660096030682325e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-12.cnf,4.4,90,300,True,5.832989700138569e-06,29,91,0,3.1379310344827585,1000,4.208006430417299e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-13.cnf,7.4444,90,300,True,5.0000089686363935e-06,24,91,0,3.7916666666666665,10,4.292000085115433e-06,24,91,0,3.7916666666666665,True,4.499809670330265,0.0
flat30-60,flat30-13.cnf,7.4444,90,300,True,5.0000089686363935e-06,24,91,0,3.7916666666666665,30,4.332978278398514e-06,24,91,0,3.7916666666666665,True,4.499809670330265,0.0
flat30-60,flat30-13.cnf,7.4444,90,300,True,5.0000089686363935e-06,24,91,0,3.7916666666666665,100,4.250003257766366e-06,24,91,0,3.7916666666666665,True,4.499809670330265,0.0
flat30-60,flat30-13.cnf,7.4444,90,300,True,5.0000089686363935e-06,24,91,0,3.7916666666666665,300,4.208006430417299e-06,24,91,0,3.7916666666666665,True,4.499809670330265,0.0
flat30-60,flat30-13.cnf,7.4444,90,300,True,5.0000089686363935e-06,24,91,0,3.7916666666666665,1000,3.749999450519681e-06,24,91,0,3.7916666666666665,True,4.499809670330265,0.0
flat30-60,flat30-14.cnf,2.7333,90,300,True,5.624984623864293e-06,27,91,0,3.3703703703703702,10,4.3330073822289705e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-14.cnf,2.7333,90,300,True,5.624984623864293e-06,27,91,0,3.3703703703703702,30,3.8330035749822855e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-14.cnf,2.7333,90,300,True,5.624984623864293e-06,27,91,0,3.3703703703703702,100,3.6249984987080097e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-14.cnf,2.7333,90,300,True,5.624984623864293e-06,27,91,0,3.3703703703703702,300,3.749999450519681e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-14.cnf,2.7333,90,300,True,5.624984623864293e-06,27,91,0,3.3703703703703702,1000,3.7920253816992044e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-15.cnf,2.8667,90,300,True,4.8330111894756556e-06,28,91,0,3.25,10,4.2079773265868425e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-15.cnf,2.8667,90,300,True,4.8330111894756556e-06,28,91,0,3.25,30,3.958994057029486e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-15.cnf,2.8667,90,300,True,4.8330111894756556e-06,28,91,0,3.25,100,3.875000402331352e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-15.cnf,2.8667,90,300,True,4.8330111894756556e-06,28,91,0,3.25,300,3.6669953260570765e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-15.cnf,2.8667,90,300,True,4.8330111894756556e-06,28,91,0,3.25,1000,3.708992153406143e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-16.cnf,4.0,90,300,True,5.040987161919475e-06,25,91,0,3.64,10,4.415982402861118e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-16.cnf,4.0,90,300,True,5.040987161919475e-06,25,91,0,3.64,30,3.917026333510876e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-16.cnf,4.0,90,300,True,5.040987161919475e-06,25,91,0,3.64,100,3.749999450519681e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-16.cnf,4.0,90,300,True,5.040987161919475e-06,25,91,0,3.64,300,3.875000402331352e-06,25,91,0,3.64,True,4.499809670330265,0.0
