family,n_instances,variables,clauses,size_spread_n,mean_ppd,ppd_std,ppd_min,ppd_max
uf20-91,1000,20,91,0.0,4.91,1.51,1.5,10.5
uf50-218,1000,50,218,0.0,9.44,2.33,2.55,15.16
uuf50-218,1000,50,218,0.0,12.21,1.24,8.22,16.4
flat30-60,100,90,300,0.0,4.86,1.76,2.16,11.89
uf100-430,1000,100,430,0.0,17.37,2.65,3.7,22.71
flat50-115,999,150,545,0.0,11.24,4.38,3.45,27.26
uf150-645,100,150,645,0.0,23.98,2.21,16.34,27.67
uf175-753,100,175,753,0.0,27.72,1.81,16.73,30.35
uf200-860,100,200,860,0.0,30.65,1.35,24.52,32.35
uf225-960,100,225,960,0.0,33.3,1.5,21.37,35.32
uf250-1065,100,250,1065,0.0,36.03,0.78,32.73,37.84
