depth_mode,family,n,feature,rho_vs_orig,p_vs_orig,rho_vs_clean,p_vs_clean
d=0.2n,flat30-60,14,up_mean,-0.1188,0.6858,0.0640,0.8279
d=0.2n,flat30-60,14,up_max,-0.0486,0.8690,0.0928,0.7524
d=0.2n,flat50-115,12,up_mean,0.3427,0.2756,0.2042,0.5243
d=0.2n,flat50-115,12,up_max,0.1366,0.6721,0.4392,0.1532
d=0.2n,uf100-430,25,up_mean,-0.1685,0.4208,0.0231,0.9128
d=0.2n,uf100-430,25,up_max,0.0583,0.7819,0.0332,0.8748
d=0.2n,uf150-645,25,up_mean,-0.1723,0.4102,-0.1015,0.6291
d=0.2n,uf150-645,25,up_max,-0.0443,0.8333,-0.1719,0.4112
d=0.2n,uf20-91,25,up_mean,-0.1659,0.4281,0.3574,0.0795
d=0.2n,uf20-91,25,up_max,-0.0081,0.9692,0.4107,0.0414
d=0.2n,uf50-218,25,up_mean,-0.1158,0.5815,0.0069,0.9738
d=0.2n,uf50-218,25,up_max,-0.1574,0.4525,-0.3294,0.1078
d=0.2n,uuf50-218,25,up_mean,0.4438,0.0262,0.2431,0.2417
d=0.2n,uuf50-218,25,up_max,0.1109,0.5978,-0.0167,0.9370
d=20,flat30-60,9,up_mean,-0.1167,0.7650,-0.2988,0.4348
d=20,flat30-60,9,up_max,0.4034,0.2817,-0.1808,0.6416
d=20,flat50-115,25,up_mean,0.1669,0.4252,-0.0528,0.8022
d=20,flat50-115,25,up_max,0.0286,0.8922,-0.1586,0.4488
d=20,uf100-430,25,up_mean,-0.1685,0.4208,0.0231,0.9128
d=20,uf100-430,25,up_max,0.0583,0.7819,0.0332,0.8748
d=20,uf150-645,25,up_mean,-0.1023,0.6265,-0.2431,0.2417
d=20,uf150-645,25,up_max,-0.0556,0.7919,0.2450,0.2378
d=20,uf50-218,22,up_mean,-0.1813,0.4194,0.1519,0.4998
d=20,uf50-218,22,up_max,-0.3023,0.1716,-0.0673,0.7661
d=20,uuf50-218,16,up_mean,0.0382,0.8882,0.0324,0.9053
d=20,uuf50-218,16,up_max,-0.0896,0.7413,0.0329,0.9038
